player,mins_played,saves,goals_conceded,expected_goals_conceded,successful_passes,accurate_pass_per_match_hub,keeper_throws,total_long_balls,total_launches,goal_kicks,fouls,was_fouled,yellow_card,total_red_card,lost_corners,punches,assists,goals,total_scoring_att,club,side,match_id
M. Freese,90,4,0,0,15,71.4,0,3,0,0,1,0,1,0,0,0,0,0,0,NYC,home,919a513b
R. Celentano,90,4,1,0,25,86.2,0,7,0,0,0,0,0,0,0,1,0,0,0,CIN,away,919a513b
J. Willis,90,3,1,0,18,78.3,0,6,0,0,0,0,0,0,0,1,0,0,0,NSH,home,4cb316bb
K. Kahlina,90,6,2,0,30,85.7,0,5,0,0,0,0,0,0,0,0,0,0,0,CLT,away,4cb316bb
J. Willis,90,3,3,0,14,77.8,0,8,0,0,0,0,0,0,0,0,0,0,0,NSH,home,54fc52e2
P. Gallese,90,2,0,0,21,87.5,0,5,0,0,0,2,0,0,0,0,0,0,0,ORL,away,54fc52e2
S. Clark,90,6,1,0,22,66.7,0,10,0,0,0,0,0,0,0,0,0,0,0,HOU,home,0fcc6367
G. Beavers,90,4,4,0,13,68.4,0,7,0,0,0,0,0,0,0,0,0,0,0,RSL,away,0fcc6367
M. Freese,90,3,2,0,24,80,0,7,0,0,0,0,0,0,0,0,0,0,0,NYC,home,56fecf55
R. Celentano,90,6,3,0,14,56,0,12,0,0,0,0,0,0,0,1,0,0,0,CIN,away,56fecf55
J. Cohen,90,2,3,0,37,88.1,0,14,0,0,0,0,0,0,0,0,0,0,0,ATL,home,a6c2ed70
K. Kahlina,90,2,2,0,16,66.7,0,9,0,0,0,0,1,0,0,0,0,0,0,CLT,away,a6c2ed70
R. Celentano,90,2,3,0,18,90,0,2,0,0,0,0,0,0,0,0,0,0,0,CIN,home,c4289199
O. Semmle,90,1,4,0,21,67.7,0,7,0,0,0,0,0,0,0,0,0,0,0,PHI,away,c4289199
K. Kahlina,90,8,0,0,27,93.1,0,5,0,0,0,0,0,0,0,0,0,0,0,CLT,home,c2bbb0c0
R. Celentano,90,3,2,0,24,92.3,0,2,0,0,0,0,0,0,0,0,0,0,0,CIN,away,c2bbb0c0
A. Thomas,90,1,2,0,10,66.7,0,5,0,0,0,0,0,0,0,2,0,0,0,SEA,home,f97c63b6
T. Hasal,90,5,5,0,18,69.2,0,7,0,0,0,0,0,0,0,1,0,0,0,LAFC,away,f97c63b6
P. Schulte,90,1,1,0,21,95.5,0,3,0,0,0,0,0,0,0,0,0,0,0,CLB,home,e58ff098
O. Ustari,90,3,0,0,39,81.3,0,12,0,0,0,0,0,0,0,0,0,0,0,MIA,away,e58ff098
