general_possession_pct_home,general_possession_pct_away,general_shots_home,general_shots_away,general_shots_on_goal_home,general_shots_on_goal_away,general_blocked_shots_home,general_blocked_shots_away,general_total_passes_home,general_total_passes_away,general_passing_accuracy_pct_home,general_passing_accuracy_pct_away,general_corners_home,general_corners_away,general_total_crosses_home,general_total_crosses_away,general_offsides_home,general_offsides_away,general_aerial_duels_won_home,general_aerial_duels_won_away,general_expected_goals_home,general_expected_goals_away,general_goalkeeper_saves_home,general_goalkeeper_saves_away,general_clearances_home,general_clearances_away,general_fouls_home,general_fouls_away,general_yellow_cards_home,general_yellow_cards_away,general_red_cards_home,general_red_cards_away,general_overall_pct_home,general_overall_pct_away,general_open_play_pass_pct_home,general_open_play_pass_pct_away,general_set_piece_cross_pct_home,general_set_piece_cross_pct_away,general_open_play_cross_pct_home,general_open_play_cross_pct_away,general_goals_conceded_home,general_goals_conceded_away,general_shots_against_home,general_shots_against_away,general_clean_sheets_home,general_clean_sheets_away,general_xg_conceded_home,general_xg_conceded_away,general_interceptions_home,general_interceptions_away,shooting_goals_home,shooting_goals_away,shooting_on_target_home,shooting_on_target_away,shooting_off_target_home,shooting_off_target_away,shooting_blocked_home,shooting_blocked_away,passing_overall_pct_home,passing_overall_pct_away,passing_open_play_pass_pct_home,passing_open_play_pass_pct_away,passing_set_piece_cross_pct_home,passing_set_piece_cross_pct_away,passing_open_play_cross_pct_home,passing_open_play_cross_pct_away,possession_0_5_home,possession_0_5_away,possession_6_10_home,possession_6_10_away,possession_11_15_home,possession_11_15_away,possession_16_20_home,possession_16_20_away,possession_21_25_home,possession_21_25_away,possession_26_30_home,possession_26_30_away,possession_31_35_home,possession_31_35_away,possession_36_40_home,possession_36_40_away,possession_41_45_home,possession_41_45_away,possession_46_50_home,possession_46_50_away,possession_51_55_home,possession_51_55_away,possession_56_60_home,possession_56_60_away,possession_61_65_home,possession_61_65_away,possession_66_70_home,possession_66_70_away,possession_71_75_home,possession_71_75_away,possession_76_80_home,possession_76_80_away,possession_81_85_home,possession_81_85_away,possession_86_90_home,possession_86_90_away,xg_total_team_xg_home,xg_total_team_xg_away,xg_shots_home,xg_shots_away,xg_shots_on_target_home,xg_shots_on_target_away,match_id
51.1,48.9,16,14,5,4,3,5,410,423,85.8,85.8,8,7,15,7,2,1,10,7,3.0,1.0,4,4,6,5,11,7,1,3,1,0,85.8,85.8,86.1,86.1,40.0,60.0,40.0,14.3,0,1,16,14,0,0,1.0,3.0,2,2,1,0,5,4,6,3,3,5,85.8,85.8,86.1,86.1,40.0,60.0,40.0,14.3,53.16,46.84,77.78,22.22,35.33,64.67,50.84,49.16,39.24,60.76,73.14,26.86,32.36,67.64,52.75,47.25,54.96,45.04,68.95,31.05,47.49,52.51,53.97,46.03,76.94,23.06,48.17,51.83,36.81,63.19,69.69,30.31,18.75,81.25,22.35,77.65,3.0,1.0,16,14,5,4,e7ce5055
35.5,64.5,7,14,2,5,2,3,287,595,78.0,87.2,2,7,7,7,3,3,8,19,1.0,1.8,3,0,13,0,12,13,3,4,0,0,78.0,87.2,80.8,86.7,50.0,50.0,42.9,28.6,2,2,7,14,0,0,1.8,1.0,0,0,2,2,2,5,2,5,2,3,78.0,87.2,80.8,86.7,50.0,50.0,42.9,28.6,20.8,79.2,18.7,81.3,51.95,48.05,51.37,48.63,39.3,60.7,14.09,85.91,45.52,54.48,34.38,65.62,20.87,79.13,57.75,42.25,78.84,21.16,22.48,77.52,39.43,60.57,29.91,70.09,45.51,54.49,31.52,68.48,29.1,70.9,43.79,56.21,1.0,1.8,7,14,2,5,0c094d42
49.4,50.6,10,13,4,6,1,2,280,348,69.3,72.4,3,9,8,10,2,3,21,22,0.9,1.6,4,3,16,3,13,17,0,2,0,0,69.3,72.4,69.4,72.5,33.3,44.4,37.5,30.0,2,1,10,13,0,0,1.6,0.9,1,0,1,2,4,6,4,5,1,2,69.3,72.4,69.4,72.5,33.3,44.4,37.5,30.0,52.83,47.17,49.29,50.71,41.58,58.42,58.04,41.96,45.45,54.55,28.5,71.5,61.97,38.03,61.31,38.69,49.18,50.82,56.34,43.66,60.28,39.72,46.48,53.52,44.76,55.24,45.21,54.79,45.17,54.83,44.79,55.21,46.02,53.98,23.68,76.32,0.9,1.6,10,13,4,6,874f429e
49.9,50.1,23,19,3,6,6,5,449,409,81.5,76.5,7,5,21,10,1,2,7,13,2.6,3.0,5,2,9,17,13,11,3,1,0,0,81.5,76.5,81.8,75.7,16.7,66.7,33.3,50.0,1,1,23,19,0,0,3.0,2.6,1,1,1,1,3,6,14,8,6,5,81.5,76.5,81.8,75.7,16.7,66.7,33.3,50.0,48.91,51.09,60.84,39.16,49.82,50.18,57.48,42.52,61.81,38.19,43.42,56.58,32.05,67.95,65.99,34.01,21.83,78.17,41.61,58.39,47.92,52.08,50.42,49.58,54.3,45.7,73.49,26.51,45.82,54.18,47.52,52.48,34.99,65.01,60.51,39.49,2.6,3.0,23,19,3,6,40a8ac5e
46.4,53.6,12,9,2,4,6,3,432,482,80.1,84.2,7,6,6,7,1,0,10,9,1.0,0.9,2,2,9,13,14,18,3,2,0,0,80.1,84.2,79.3,84.3,33.3,40.0,50.0,14.3,2,0,12,9,0,0,0.9,1.0,1,0,0,2,2,4,4,1,6,3,80.1,84.2,79.3,84.3,33.3,40.0,50.0,14.3,47.13,52.87,59.72,40.28,36.06,63.94,60.78,39.22,44.7,55.3,21.26,78.74,61.63,38.37,29.73,70.27,56.71,43.29,30.15,69.85,62.99,37.01,58.37,41.63,42.25,57.75,23.44,76.56,56.63,43.37,35.61,64.39,72.2,27.8,71.69,28.31,1.0,0.9,12,9,2,4,9b2e7182
54.5,45.5,17,8,4,2,4,1,510,387,91.4,86.0,8,6,8,4,3,1,10,5,2.8,0.7,2,2,11,17,5,10,0,0,0,1,91.4,86.0,91.3,86.8,44.4,60.0,25.0,25.0,0,1,17,8,0,0,0.7,2.8,0,1,1,0,4,2,8,5,4,1,91.4,86.0,91.3,86.8,44.4,60.0,25.0,25.0,67.56,32.44,54.69,45.31,43.02,56.98,55.63,44.37,59.98,40.02,68.52,31.48,25.92,74.08,50.76,49.24,36.42,63.58,66.17,33.83,61.14,38.86,37.27,62.73,64.96,35.04,70.19,29.81,74.04,25.96,37.86,62.14,59.5,40.5,68.35,31.65,2.8,0.7,17,8,4,2,235c60ee
49.5,50.5,22,9,7,1,6,3,444,426,84.5,85.2,8,9,18,10,2,1,13,4,1.0,1.8,0,6,6,13,8,8,2,1,0,0,84.5,85.2,84.2,85.2,33.3,33.3,16.7,20.0,1,1,22,9,0,0,1.8,1.0,1,3,1,1,7,1,8,5,6,3,84.5,85.2,84.2,85.2,33.3,33.3,16.7,20.0,55.22,44.78,53.94,46.06,72.34,27.66,47.38,52.62,46.56,53.44,69.37,30.63,28.82,71.18,32.41,67.59,35.69,64.31,65.08,34.92,33.89,66.11,63.13,36.87,55.78,44.22,25.13,74.87,31.05,68.95,27.04,72.96,61.61,38.39,55.83,44.17,1.0,1.8,22,9,7,1,37468d4e
59.0,41.0,13,3,3,2,3,0,608,409,91.5,87.3,7,1,1,2,1,0,9,4,1.8,0.3,2,0,3,10,13,14,2,3,0,1,91.5,87.3,91.2,87.2,57.1,0.0,0.0,50.0,0,3,13,3,0,0,0.3,1.8,0,0,3,0,3,2,5,1,3,0,91.5,87.3,91.2,87.2,57.1,0.0,0.0,50.0,60.61,39.39,45.61,54.39,80.37,19.63,63.05,36.95,45.21,54.79,81.82,18.18,60.11,39.89,65.87,34.13,54.21,45.79,82.76,17.24,89.9,10.1,67.75,32.25,48.58,51.42,62.85,37.15,57.71,42.29,53.55,46.45,35.28,64.72,32.7,67.3,1.8,0.3,13,3,3,2,7a317e25
51.5,48.5,14,8,7,3,5,2,562,515,87.0,86.0,3,3,5,4,4,3,12,6,1.9,0.7,3,3,5,5,10,15,0,2,0,0,87.0,86.0,87.2,86.3,66.7,0.0,60.0,25.0,0,3,14,8,0,0,0.7,1.9,0,0,3,0,7,3,1,2,5,2,87.0,86.0,87.2,86.3,66.7,0.0,60.0,25.0,52.71,47.29,75.71,24.29,60.86,39.14,46.71,53.29,48.1,51.9,37.57,62.43,56.18,43.82,54.15,45.85,19.85,80.15,42.63,57.37,64.78,35.22,59.75,40.25,36.7,63.3,25.54,74.46,50.2,49.8,46.19,53.81,70.47,29.53,75.27,24.73,1.9,0.7,14,8,7,3,0b61a3ed
50.3,49.7,18,11,6,5,6,0,444,454,84.5,85.0,3,4,4,6,0,1,17,14,2.0,2.0,4,4,6,10,15,14,2,0,0,0,84.5,85.0,84.5,84.9,0.0,0.0,50.0,16.7,1,2,18,11,0,0,2.0,2.0,1,0,2,1,6,5,6,6,6,0,84.5,85.0,84.5,84.9,0.0,0.0,50.0,16.7,47.4,52.6,45.64,54.36,48.0,52.0,37.76,62.24,40.77,59.23,61.49,38.51,32.16,67.84,76.11,23.89,31.25,68.75,49.48,50.52,73.46,26.54,52.3,47.7,49.28,50.72,28.72,71.28,36.27,63.73,85.71,14.29,45.0,55.0,52.91,47.09,2.0,2.0,18,11,6,5,88c62bac
