player,mins_played,goals,expected_goals,total_scoring_att,ontarget_scoring_att,accurate_pass_per_match_hub,goal_assist,accurate_pass,accurate_cross,corner_taken,total_att_assist,aerial_duel,aerial_duel_per,fouls,was_fouled,total_offside,yellow_card,total_red_card,club,side,match_id
A. Gutman,90,0,0,0,0,66.7,0,20,0,0,1,1,100,3,0,0,0,0,CHI,home,e314090d
M. Pineda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,home,e314090d
S. Oregel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,home,e314090d
R. Lod,90,0,0.13,1,0,64.7,0,11,0,0,1,2,33.33,3,2,2,0,0,CHI,home,e314090d
J. Elliott,62,0,0,0,0,91.1,0,41,0,0,0,0,0,2,0,0,0,0,CHI,home,e314090d
J. Dean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,home,e314090d
M. Haile-Selassie,81,0,0,0,0,100,0,11,0,0,2,1,50,0,0,1,0,0,CHI,home,e314090d
J. Cohen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,home,e314090d
C. Cupps,28,0,0,0,0,100,0,6,0,0,0,1,50,0,0,0,0,0,CHI,home,e314090d
J. Shokalook,9,0,0,0,0,100,0,4,0,0,0,1,50,1,0,0,0,0,CHI,home,e314090d
J. Bamba,90,0,0.38,3,1,78.6,1,22,0,0,2,0,0,3,5,0,0,0,CHI,home,e314090d
L. Barroso,90,0,0,0,0,69.2,0,18,0,0,0,0,0,1,1,0,0,0,CHI,home,e314090d
P. Zinckernagel,89,1,0.93,4,2,87.5,0,21,0,1,0,0,0,1,3,0,0,0,CHI,home,e314090d
D. D’Avilla,90,0,0,0,0,90.2,0,37,0,0,1,1,100,3,1,0,1,0,CHI,home,e314090d
V. Radojević,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,home,e314090d
A. Salétros,90,0,0.03,1,0,86.7,1,39,0,0,1,0,0,2,0,0,1,0,CHI,home,e314090d
M. Mbokazi,90,0,0,0,0,87.5,0,49,0,0,0,3,100,0,0,0,0,0,CHI,home,e314090d
P. Dithejane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,home,e314090d
B. Acosta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NSH,away,e314090d
A. Nájar,90,0,0,0,0,86.3,0,69,0,0,2,2,66.67,1,2,0,0,0,NSH,away,e314090d
J. Willis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NSH,away,e314090d
D. Lovitz,78,0,0,0,0,82.5,0,33,0,0,1,1,50,3,1,0,0,0,NSH,away,e314090d
J. Maher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NSH,away,e314090d
H. Mukhtar,90,0,0.09,1,1,79.4,0,27,0,1,0,0,0,0,4,0,0,0,NSH,away,e314090d
A. Muyl,61,0,0,0,0,85,0,17,0,0,0,0,0,2,0,1,0,0,NSH,away,e314090d
T. Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NSH,away,e314090d
C. Espinoza,78,0,0,0,0,66.7,0,18,0,2,0,0,0,0,1,1,0,0,NSH,away,e314090d
R. Baker-Whiting,12,0,0,0,0,88.9,0,8,0,0,0,0,0,0,0,0,0,0,NSH,away,e314090d
S. Surridge,90,0,0.33,3,1,68.4,0,13,0,0,1,2,28.57,0,1,1,0,0,NSH,away,e314090d
W. Pacius,1,0,0.09,1,0,0,0,0,0,0,0,1,100,0,0,0,0,0,NSH,away,e314090d
W. Madrigal,29,0,0.09,2,1,60,0,3,0,0,1,1,100,1,0,0,0,0,NSH,away,e314090d
M. Corcoran,61,0,0.03,1,0,94.6,0,35,0,0,0,0,0,2,1,0,0,0,NSH,away,e314090d
P. Yazbek,29,0,0,0,0,93.8,0,15,0,0,0,0,0,1,0,0,0,0,NSH,away,e314090d
J. Palacios,90,0,0.62,2,1,93.4,0,85,0,0,0,2,66.67,0,3,0,0,0,NSH,away,e314090d
E. Tagseth,89,0,0,0,0,92.6,0,50,0,0,0,0,0,2,3,0,1,0,NSH,away,e314090d
A. Qasem,12,0,0,0,0,85.7,0,6,0,0,0,0,0,1,1,0,0,0,NSH,away,e314090d
M. Woledzi,90,0,0,0,0,90.1,0,73,0,0,0,3,60,0,1,0,0,0,NSH,away,e314090d
C. McVey,89,0,0,0,0,92.2,0,83,0,0,0,0,0,1,0,0,1,0,SD,home,a87ad02f
B. Duke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SD,home,a87ad02f
A. Godoy,27,0,0,0,0,96,0,24,0,0,0,0,0,2,2,0,1,0,SD,home,a87ad02f
L. Morgan,16,0,0,0,0,66.7,0,4,0,0,0,0,0,0,0,0,0,0,SD,home,a87ad02f
D. Vazquez,63,0,0.47,1,1,80,0,20,0,0,0,0,0,2,1,0,0,0,SD,home,a87ad02f
C. dos Santos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SD,home,a87ad02f
O. Verhoeven,63,0,0,0,0,82.3,0,28,0,0,0,0,0,0,0,0,0,0,SD,home,a87ad02f
L. Bombino,90,0,0.03,1,0,86.3,0,44,1,0,1,0,0,2,2,0,0,0,SD,home,a87ad02f
A. Pellegrino,74,0,0,0,0,83.3,1,20,0,0,3,0,0,3,0,1,0,0,SD,home,a87ad02f
A. Saidi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SD,home,a87ad02f
J. Tverskov,90,0,0.16,1,0,84,1,79,0,0,0,0,0,1,0,0,0,0,SD,home,a87ad02f
M. Ingvartsen,90,1,1.08,5,2,83.3,0,15,0,0,3,1,25,3,1,1,0,0,SD,home,a87ad02f
W. Eisner,27,0,0,0,0,78.6,0,11,0,0,0,0,0,0,0,0,0,0,SD,home,a87ad02f
A. Mighten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SD,home,a87ad02f
A. Dreyer,90,1,0.57,5,2,81.3,0,39,2,7,2,0,0,0,1,0,0,0,SD,home,a87ad02f
