player,mins_played,goals,expected_goals,total_scoring_att,ontarget_scoring_att,accurate_pass_per_match_hub,goal_assist,accurate_pass,accurate_cross,corner_taken,total_att_assist,aerial_duel,aerial_duel_per,fouls,was_fouled,total_offside,yellow_card,total_red_card,club,side,match_id
N. Byrne,90,0,0,0,0,88.6,0,70,0,0,0,3,42.86,0,0,0,0,0,CLT,home,942230ce
B. Bronico,69,0,0,0,0,82.1,0,23,0,0,0,0,0,2,1,0,0,0,CLT,home,942230ce
K. Vargas,21,0,0.11,2,1,94.1,0,16,0,0,0,0,0,0,0,0,0,0,CLT,home,942230ce
T. Miller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLT,home,942230ce
A. Privett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLT,home,942230ce
A. Westwood,89,0,0,0,0,92.8,0,77,1,5,4,0,0,0,2,0,0,0,CLT,home,942230ce
A. John,1,0,0,0,0,100,0,7,0,1,0,0,0,0,0,0,0,0,CLT,home,942230ce
T. Ream,90,0,0,0,0,97.7,0,84,0,0,0,1,50,0,1,0,0,0,CLT,home,942230ce
D. Diani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLT,home,942230ce
T. Smalls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLT,home,942230ce
L. Abada,69,0,0.03,1,1,86.4,1,38,0,0,2,0,0,1,1,0,1,0,CLT,home,942230ce
L. de la Torre,21,0,0.11,2,0,88.9,1,16,0,0,2,0,0,1,0,0,0,0,CLT,home,942230ce
D. Schnegg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLT,home,942230ce
P. Biel,90,2,1.3,8,4,84.8,0,39,1,5,5,0,0,0,1,0,0,0,CLT,home,942230ce
I. Toklomati,90,1,1.26,3,3,90.9,0,10,0,0,2,0,0,2,2,0,0,0,CLT,home,942230ce
W. Zaha,90,0,0.29,5,1,90.7,1,68,1,1,1,0,0,2,3,0,1,0,CLT,home,942230ce
M. Agyemang,90,0,0,0,0,94.9,0,56,0,0,0,1,25,0,0,0,0,0,CLT,home,942230ce
H. Toffolo,90,0,0.12,4,2,93.2,1,68,2,0,1,2,100,1,0,0,0,0,CLT,home,942230ce
A. Goodwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLT,home,942230ce
D. Las,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATX,away,942230ce
J. Gallagher,90,0,0,0,0,59.1,0,13,0,0,1,1,100,2,1,0,0,0,ATX,away,942230ce
Ž. Kolmanič,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATX,away,942230ce
D. Pereira,36,0,0,0,0,94.1,0,16,0,0,0,0,0,0,3,0,0,0,ATX,away,942230ce
B. Hines-Ike,90,0,0,0,0,96.4,0,27,0,0,0,1,100,0,0,0,0,0,ATX,away,942230ce
I. Sánchez,74,0,0.04,1,1,78.6,0,11,0,0,0,0,0,0,0,0,0,0,ATX,away,942230ce
J. Rosales,74,0,0.02,1,0,61.5,0,8,1,0,0,2,50,3,1,0,0,0,ATX,away,942230ce
J. Bell,62,0,0,0,0,75,0,12,0,0,0,1,50,0,0,0,0,0,ATX,away,942230ce
F. Torres,90,0,0.03,1,0,96.2,0,25,0,3,2,1,100,2,0,1,0,0,ATX,away,942230ce
J. Nelson,28,0,0.03,1,0,75,0,6,0,0,1,2,100,0,0,0,0,0,ATX,away,942230ce
C. Ramírez,15,0,0,0,0,100,0,1,0,0,0,0,0,0,0,0,0,0,ATX,away,942230ce
C. Fodrey,16,0,0,0,0,66.7,0,2,0,0,0,0,0,0,1,0,0,0,ATX,away,942230ce
E. Torres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATX,away,942230ce
G. Biro,25,0,0,0,0,77.8,0,14,0,0,0,1,100,1,0,0,0,1,ATX,away,942230ce
O. Svatok,90,0,0,0,0,66.7,0,18,0,0,0,2,66.67,1,0,0,0,0,ATX,away,942230ce
B. Sabovic,16,0,0,0,0,66.7,0,2,0,0,0,0,0,1,0,0,0,0,ATX,away,942230ce
M. Uzuni,75,0,0.1,1,0,100,0,10,0,0,0,0,0,2,1,0,1,0,ATX,away,942230ce
N. Dubersarsky,54,0,0,0,0,85.7,0,12,0,0,1,0,0,0,1,0,0,0,ATX,away,942230ce
