player,mins_played,goals,expected_goals,total_scoring_att,ontarget_scoring_att,accurate_pass_per_match_hub,goal_assist,accurate_pass,accurate_cross,corner_taken,total_att_assist,aerial_duel,aerial_duel_per,fouls,was_fouled,total_offside,yellow_card,total_red_card,club,side,match_id
Z. Bassong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKC,home,bac85cf2
J. Pulskamp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKC,home,bac85cf2
A. Fontàs,90,0,0,0,0,84.5,0,49,0,0,0,0,0,0,0,0,0,0,SKC,home,bac85cf2
R. Voloder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKC,home,bac85cf2
K. Pierre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKC,home,bac85cf2
J. Davis,90,0,0.03,1,0,71.1,0,32,0,0,0,1,100,2,0,0,1,0,SKC,home,bac85cf2
F. Hernández,46,0,0.17,1,0,70,0,7,0,1,0,0,0,2,0,0,1,0,SKC,home,bac85cf2
E. Thommy,84,2,0.18,2,2,71.4,0,10,0,0,1,0,0,1,2,0,0,0,SKC,home,bac85cf2
M. Tzionis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKC,home,bac85cf2
R. Walter,44,0,0.24,1,0,82.3,0,14,0,1,0,0,0,0,0,0,0,0,SKC,home,bac85cf2
J. Russell,6,0,0,0,0,100,0,6,0,1,0,0,0,0,1,0,0,0,SKC,home,bac85cf2
A. Pulido,90,0,0.04,1,0,97,0,32,0,0,1,1,33.33,1,3,0,0,0,SKC,home,bac85cf2
D. Sallói,90,0,0,0,0,72.7,0,16,1,2,1,1,50,1,1,0,0,0,SKC,home,bac85cf2
W. Agada,90,0,0.4,4,1,79,0,15,0,0,0,3,50,2,0,1,0,0,SKC,home,bac85cf2
N. Radoja,90,0,0,0,0,92.5,0,37,0,0,0,0,0,3,0,0,1,0,SKC,home,bac85cf2
T. Leibold,90,0,0,0,0,87.3,1,48,0,0,2,0,0,0,1,0,0,0,SKC,home,bac85cf2
R. Castellanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKC,home,bac85cf2
D. Rosero,90,0,0,0,0,80,0,32,0,0,0,1,100,2,1,0,0,0,SKC,home,bac85cf2
A. Vargas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKC,home,bac85cf2
N. Allen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,away,bac85cf2
R. Sailor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,away,bac85cf2
S. Borgelin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,away,bac85cf2
J. Gressel,67,0,0,0,0,85.3,1,29,0,1,0,0,0,0,2,0,0,0,MIA,away,bac85cf2
L. Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,away,bac85cf2
D. Ruiz,90,0,0,0,0,100,1,38,0,0,1,0,0,1,1,0,0,0,MIA,away,bac85cf2
B. Cremaschi,23,0,0,0,0,84.2,0,16,0,0,0,1,100,0,0,0,0,0,MIA,away,bac85cf2
F. Negri,12,0,0,0,0,78.6,0,11,0,0,0,2,100,0,1,0,0,0,MIA,away,bac85cf2
C. dos Santos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,away,bac85cf2
S. Busquets,90,0,0,0,0,95.5,0,85,0,0,0,1,50,1,3,0,0,0,MIA,away,bac85cf2
N. Freire,90,0,0,0,0,87.5,0,91,0,0,0,2,100,1,0,0,0,0,MIA,away,bac85cf2
L. Messi,90,1,0.17,4,2,76.5,1,39,0,0,2,0,0,0,2,1,0,0,MIA,away,bac85cf2
J. Alba,78,0,0,0,0,92.6,0,50,1,0,2,0,0,1,2,0,0,0,MIA,away,bac85cf2
D. Gómez,89,1,0.43,3,1,91.7,1,44,0,0,1,1,33.33,2,0,0,1,0,MIA,away,bac85cf2
T. Avilés,90,0,0,0,0,89.3,0,67,0,0,0,1,50,1,0,0,1,0,MIA,away,bac85cf2
L. Suárez,90,1,0.9,3,3,84,0,21,0,0,0,0,0,0,2,0,0,0,MIA,away,bac85cf2
Y. Bright,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,away,bac85cf2
L. Frugis Afonso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,away,bac85cf2
M. Weigandt,90,0,0,0,0,82.3,0,42,0,0,1,3,75,2,1,0,0,0,MIA,away,bac85cf2
J. Bell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEA,home,d19065bb
D. Musovski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEA,home,d19065bb
A. Thomas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEA,home,d19065bb
N. Tolo,90,0,0.29,2,0,88.1,0,59,0,0,0,0,0,0,1,0,0,0,SEA,home,d19065bb
J. Ragen,90,0,0,0,0,95,0,57,0,0,1,1,50,1,0,0,0,0,SEA,home,d19065bb
Y. Gómez,90,0,0.11,1,1,88.5,0,69,0,0,1,2,100,0,0,0,0,0,SEA,home,d19065bb
J. Mior,79,0,0.14,3,1,94.2,0,65,1,0,0,0,0,1,0,0,0,0,SEA,home,d19065bb
C. Roldan,90,0,0,0,0,92.5,0,62,1,0,1,0,0,0,0,0,0,0,SEA,home,d19065bb
A. Rusnák,86,1,0.13,2,2,91.3,1,42,1,7,6,0,0,0,0,0,0,0,SEA,home,d19065bb
A. Roldan,11,0,0,0,0,91.7,0,11,1,1,0,0,0,0,0,0,0,0,SEA,home,d19065bb
R. Baker-Whiting,45,0,0.11,2,1,95.5,0,21,0,0,1,0,0,0,1,1,0,0,SEA,home,d19065bb
L. Chú,45,0,0,0,0,77.8,0,7,0,0,0,1,100,1,0,0,0,0,SEA,home,d19065bb
O. Vargas,86,0,0.07,1,0,93.8,1,45,0,0,2,0,0,0,2,0,0,0,SEA,home,d19065bb
D. Leyva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEA,home,d19065bb
J. Atencio,4,0,0,0,0,100,0,2,0,0,0,0,0,0,0,0,0,0,SEA,home,d19065bb
R. Ruidíaz,30,0,0.13,2,0,90,0,9,0,1,0,0,0,0,0,0,0,0,SEA,home,d19065bb
J. Morris,90,1,0.2,1,1,76,0,19,0,0,1,0,0,1,0,0,1,0,SEA,home,d19065bb
P. Rothrock,60,0,0.03,1,1,76.9,0,10,0,0,0,0,0,0,2,0,0,0,SEA,home,d19065bb
