match_id,date,minute,title,comment,out_player,in_player,home_team,away_team
97641fa7,2025-03-14,,End Of Second Half,End of match.,,,Orlando,Montréal
97641fa7,2025-03-14,90'+6,Yellow Card,Iván Jaime (CF Montréal) is shown the yellow card,,,Orlando,Montréal
97641fa7,2025-03-14,,Full Time,"Second half ends, Orlando City 2, CF Montréal 1.",,,Orlando,Montréal
97641fa7,2025-03-14,90'+6,,"Corner from the right, (Orlando City). Executed by Iván Angulo.",,,Orlando,Montréal
97641fa7,2025-03-14,90'+4,Attempt Missed,Prince Owusu (CF Montréal) with left footed shot from the center of the box with an xG of 15%.,,,Orlando,Montréal
97641fa7,2025-03-14,90'+3,Attempt Saved,Attempt blocked. Iván Jaime's (CF Montréal) with right footed shot from the center of the box with an xG of 31% is blocked by Zakaria Taifi.,,,Orlando,Montréal
97641fa7,2025-03-14,90'+2,,"Colin Guske (Orlando City) wins a free kick, after being fouled by Prince Owusu (CF Montréal).",,,Orlando,Montréal
97641fa7,2025-03-14,90'+2,,"Bode Hidalgo (CF Montréal) wins a free kick, after being fouled by Adrián Marín (Orlando City).",,,Orlando,Montréal
97641fa7,2025-03-14,90'+1,,"Pedro Leão (Orlando City) wins a free kick, after being fouled by Tomás Avilés (CF Montréal).",,,Orlando,Montréal
97641fa7,2025-03-14,90',,"Braian Ojeda (Orlando City) wins a free kick, after being fouled by Olger Escobar (CF Montréal).",,,Orlando,Montréal
97641fa7,2025-03-14,90',Attempt Missed,Colin Guske (Orlando City) with right footed shot from the left half-space outside the box with an xG of 2%.,,,Orlando,Montréal
97641fa7,2025-03-14,88',Attempt Saved,Attempt blocked. Iván Jaime's (CF Montréal) with right footed shot from the left half-space outside the box with an xG of 2% is blocked by Braian Ojeda.,,,Orlando,Montréal
97641fa7,2025-03-14,87',Attempt Saved,Attempt saved. Olger Escobar's (CF Montréal) with right footed shot from the central position outside the box with an xG of 3% is saved by Javier Otero.,,,Orlando,Montréal
