match_id,player_name,minutes,gk_goals_saved,gk_goals_against,gk_expected_goals_against,gk_pass_count,gk_pass_perc,gk_throws,gk_long_balls,gk_launches,gk_goal_kicks,fouls,fouls_against,yellow_card,red_card,corners_conceded,gk_punches,club,side
96758e0a,B. Stuver,90,4,1,0,34,87.2,0,8,0,0,0,0,0,0,0,0,ATX,home
96758e0a,Y. Takaoka,90,0,0,0,7,38.9,0,7,0,0,0,0,1,0,0,2,VAN,away
647538f0,O. Semmle,90,1,2,0,19,95.0,0,3,0,0,0,0,0,0,0,0,PHI,home
647538f0,S. Breza,90,8,2,0,13,37.1,0,10,0,0,1,0,0,0,0,1,MTL,away
e7ce5055,J. Otero,90,0,1,0,13,92.9,0,0,0,0,0,0,0,0,0,0,ORL,home
e7ce5055,J. Sirois,90,3,1,0,14,56.0,0,7,0,0,0,0,0,0,0,0,MTL,away
7788717c,C. Irwin,90,3,1,0,10,62.5,0,8,0,0,0,0,0,0,0,0,MIN,home
7788717c,M. Paes,90,5,1,0,28,82.3,0,5,0,0,0,0,0,0,0,0,DAL,away
1b8be490,B. Stuver,90,4,0,0,24,75.0,0,9,0,0,0,0,0,0,0,0,ATX,home
1b8be490,J. McCarthy,90,4,1,0,19,65.5,0,8,0,0,0,0,0,0,0,0,LA,away
52fc35ba,J. Willis,90,3,2,0,10,33.3,0,11,0,0,0,0,0,0,0,0,NSH,home
52fc35ba,R. Celentano,90,0,2,0,23,95.8,0,1,0,0,0,0,0,0,0,0,CIN,away
2a36e0dd,R. Celentano,90,3,1,0,18,85.7,0,5,0,0,0,0,0,0,0,0,CIN,home
2a36e0dd,M. Freese,90,5,0,0,15,55.6,0,12,0,0,0,0,0,0,0,0,NYC,away
0c094d42,C. Brady,90,3,0,0,29,93.5,0,4,0,0,0,0,0,0,0,0,CHI,home
0c094d42,O. Ustari,90,7,0,0,24,68.6,0,14,0,0,0,0,0,0,0,0,MIA,away
ac8bd5f0,C. Coronel,90,5,3,0,19,76.0,0,4,0,0,0,0,0,0,0,0,RBNY,home
ac8bd5f0,A. Ivacic,90,4,5,0,21,70.0,0,6,0,0,0,0,0,0,0,0,NE,away
874f429e,O. Ustari,90,5,3,0,15,68.2,0,11,0,0,0,0,0,0,0,1,MIA,home
874f429e,P. Gallese,90,4,0,0,16,61.5,0,8,0,0,0,0,0,0,0,0,ORL,away
848a1e5c,S. Johnson,90,4,2,0,11,44.0,0,6,0,0,0,0,0,0,0,0,TOR,home
848a1e5c,A. Blake,90,3,1,0,14,60.9,0,7,0,0,0,0,0,0,0,0,PHI,away
d3bd1a35,D. Callender,90,3,0,0,13,68.4,0,4,0,0,0,0,0,0,0,0,MIA,home
d3bd1a35,A. Bono,90,2,1,0,17,54.8,0,13,0,0,0,0,0,0,0,1,DC,away
40a8ac5e,D. De Sousa Britto,90,2,4,0,21,87.5,0,8,0,0,0,0,0,0,0,1,SJ,home
40a8ac5e,H. Lloris,90,3,2,0,14,42.4,0,13,0,0,0,0,0,0,0,0,LAFC,away
2adc4f3b,M. Freese,90,5,1,0,21,61.8,0,7,0,0,0,0,0,0,0,0,NYC,home
2adc4f3b,B. Guzan,90,2,1,0,31,63.3,0,21,0,0,0,0,0,0,0,0,ATL,away
da055f88,M. Collodi,90,2,2,0,21,84.0,0,7,0,0,0,0,0,0,0,0,DAL,home
da055f88,J. Bond,90,2,0,0,20,71.4,0,6,0,0,0,0,0,0,0,0,HOU,away
9b2e7182,M. Paes,90,3,1,0,15,48.4,0,13,0,0,0,0,0,0,0,2,DAL,home
9b2e7182,T. Hasal,90,4,3,0,19,70.4,0,7,0,0,0,0,0,0,0,0,LAFC,away
937d1f95,A. Bono,90,4,2,0,17,50.0,0,15,0,0,0,1,0,0,0,0,DC,home
937d1f95,P. Schulte,90,5,2,0,24,77.4,0,12,0,0,0,0,0,0,0,0,CLB,away
cec3094d,Z. Steffen,90,2,0,0,23,85.2,0,9,0,0,0,0,0,0,0,0,COL,home
cec3094d,Y. Takaoka,90,2,1,0,28,71.8,0,10,0,0,0,0,0,0,0,1,VAN,away
235c60ee,J. Sirois,90,2,2,0,28,84.8,0,6,0,0,0,0,0,0,0,1,MTL,home
235c60ee,A. Blake,90,2,1,0,19,79.2,0,10,0,0,0,0,0,0,0,0,PHI,away
03d60923,S. Johnson,90,2,2,0,28,84.8,0,6,0,0,0,0,0,0,0,0,TOR,home
03d60923,P. Schulte,90,4,0,0,26,92.9,0,1,0,0,0,0,0,0,0,0,CLB,away
ab9d3d48,A. Blake,90,0,1,0,10,90.9,0,0,0,0,0,0,0,0,0,1,PHI,home
ab9d3d48,B. Guzan,90,6,1,0,15,65.2,0,6,0,0,0,0,0,0,0,0,ATL,away
37468d4e,B. Stuver,90,5,3,0,22,78.6,0,6,0,0,0,0,0,0,0,0,ATX,home
37468d4e,D. St. Clair,90,3,0,0,18,54.5,0,11,0,0,0,0,0,0,0,0,MIN,away
22547f2d,R. Cabral,90,5,3,0,42,76.4,0,22,0,0,0,0,1,0,0,0,RSL,home
22547f2d,C. dos Santos,90,5,1,0,28,90.3,0,6,0,0,0,0,0,0,0,0,SD,away
94d1965f,P. Schulte,90,2,0,0,31,86.1,0,3,0,0,0,0,0,0,0,0,CLB,home
94d1965f,C. Coronel,90,0,3,0,25,80.7,0,5,0,0,0,0,0,0,0,0,RBNY,away
7a317e25,S. Johnson,90,2,2,0,14,73.7,0,4,0,0,0,1,0,0,0,0,TOR,home
7a317e25,C. Brady,90,1,1,0,25,75.8,0,11,0,0,0,1,0,0,0,1,CHI,away
279aa8d2,D. De Sousa Britto,90,4,2,0,27,79.4,0,5,0,0,0,1,0,0,0,0,SJ,home
279aa8d2,D. St. Clair,90,1,1,0,10,52.6,0,10,0,0,0,0,0,0,0,0,MIN,away
b5a5f979,D. St. Clair,90,3,0,0,21,84.0,0,4,0,0,0,0,0,0,0,0,MIN,home
b5a5f979,J. Pulskamp,90,3,3,0,9,45.0,0,9,0,0,0,0,0,0,0,0,SKC,away
7f681ff1,J. Pulskamp,90,4,3,0,14,63.6,0,5,0,0,0,0,0,0,0,0,SKC,home
7f681ff1,A. Ivacic,90,2,3,0,18,72.0,0,4,0,0,0,0,0,0,0,0,NE,away
0b61a3ed,Ó. Ustari,90,3,2,0,33,84.6,0,8,0,0,0,0,0,0,0,0,MIA,home
0b61a3ed,M. Freese,90,4,2,0,18,85.7,0,5,0,0,0,0,1,0,0,0,NYC,away
de443826,E. Louro,90,4,1,0,22,81.5,0,7,0,0,0,0,0,0,0,0,CIN,home
de443826,J. Willis,90,4,2,0,30,71.4,0,18,0,0,0,0,0,0,0,0,NSH,away
d0aa0fb0,Z. MacMath,90,1,0,0,36,90.0,0,4,0,0,0,0,0,0,0,0,RSL,home
d0aa0fb0,J. Pulskamp,90,3,1,0,6,54.5,0,2,0,0,0,0,0,0,0,1,SKC,away
88c62bac,R. Celentano,90,3,0,0,17,63.0,0,8,0,0,0,0,0,0,0,1,CIN,home
88c62bac,A. Ivacic,90,5,1,0,15,75.0,0,3,0,0,0,0,0,0,0,1,NE,away
f8856a8b,L. Barraza,90,10,1,0,22,56.4,0,14,0,0,0,0,0,0,0,0,DC,home
f8856a8b,P. Gallese,90,2,1,0,14,93.3,0,5,0,0,0,0,0,0,0,0,ORL,away
763ad58d,L. Gavran,90,6,3,0,24,82.8,0,5,0,0,0,0,0,0,0,0,TOR,home
763ad58d,T. Melia,90,1,1,0,23,40.4,0,23,0,0,0,0,0,0,0,0,SKC,away
2c7e9d25,S. Frei,90,2,0,0,34,87.2,0,5,0,0,0,1,0,0,0,0,SEA,home
2c7e9d25,R. Bürki,90,4,2,0,12,48.0,0,9,0,0,0,0,0,0,0,0,STL,away
f6cac1b1,H. Lloris,90,0,0,0,17,63.0,0,13,0,0,0,0,0,0,0,0,LAFC,home
f6cac1b1,B. Lundt,90,5,1,0,18,72.0,0,6,0,0,0,0,0,0,0,0,STL,away
a266c85b,M. Paes,90,1,1,0,21,72.4,0,9,0,0,0,0,0,0,0,0,DAL,home
a266c85b,R. Celentano,90,2,0,0,12,57.1,0,9,0,0,0,0,1,0,0,1,CIN,away
31e64f91,J. Bond,90,1,0,0,19,79.2,0,4,0,0,0,0,0,0,0,0,HOU,home
31e64f91,D. St. Clair,90,4,2,0,17,58.6,0,9,0,0,0,0,0,0,0,0,MIN,away
e709d622,D. Callender,90,2,2,0,23,95.8,0,3,0,0,0,0,0,0,0,0,MIA,home
e709d622,A. Ivacic,90,5,6,0,11,47.8,0,5,0,0,0,0,0,0,0,0,NE,away
55b0fe90,J. Willis,90,0,0,0,26,89.7,0,6,0,0,0,0,0,0,0,0,NSH,home
55b0fe90,S. Johnson,90,4,1,0,22,88.0,0,4,0,0,0,0,0,0,0,0,TOR,away
1d1f4dcc,T. Melia,90,1,1,0,8,40.0,0,10,0,0,0,0,0,0,0,0,SKC,home
1d1f4dcc,R. Bürki,90,5,1,0,16,51.6,0,12,0,0,0,0,0,0,0,0,STL,away
dedecc13,B. Guzan,90,1,3,0,21,87.5,0,5,0,0,0,1,0,0,0,0,ATL,home
dedecc13,K. Kahlina,90,4,2,0,27,67.5,0,10,0,0,0,0,0,0,0,0,CLT,away
d5fb4a23,B. Stuver,90,4,1,0,16,48.5,0,15,0,0,0,0,0,0,0,0,ATX,home
d5fb4a23,D. De Sousa Britto,90,0,3,0,16,69.6,0,7,0,0,0,2,0,0,0,0,SJ,away
724753a1,J. Gal,90,2,1,0,17,89.5,0,3,0,0,0,0,0,0,0,0,CHI,home
724753a1,A. Rick,90,1,0,0,11,42.3,0,11,0,0,0,0,0,0,0,0,PHI,away
cca120bc,C. Brady,90,1,1,0,18,60.0,0,9,0,0,0,0,0,0,0,2,CHI,home
cca120bc,C. Coronel,90,3,2,0,17,58.6,0,12,0,0,0,0,0,0,0,0,RBNY,away
c392c4f9,M. Freese,90,4,0,0,31,81.6,0,7,0,0,0,0,0,0,0,0,NYC,home
c392c4f9,J. Sirois,90,5,2,0,33,91.7,0,4,0,0,0,0,0,0,0,0,MTL,away
b5929d59,J. Willis,90,1,1,0,18,69.2,0,7,0,0,0,1,0,0,0,0,NSH,home
b5929d59,C. Coronel,90,5,2,0,18,78.3,0,6,0,0,0,0,0,0,0,0,RBNY,away
a56add17,S. Johnson,90,5,0,0,19,86.4,0,3,0,0,0,0,0,0,0,1,TOR,home
a56add17,L. Barraza,90,8,2,0,18,64.3,0,5,0,0,0,0,0,0,0,0,DC,away
0a6cd237,R. Bürki,90,3,0,0,26,74.3,0,17,0,0,0,0,0,0,0,2,STL,home
0a6cd237,J. Pantemis,90,2,0,0,19,59.4,0,10,0,0,0,1,0,0,0,0,POR,away
05bb7d24,M. Paes,90,2,0,0,14,50.0,0,7,0,0,0,0,0,0,0,1,DAL,home
05bb7d24,R. Bürki,90,7,3,0,31,88.6,0,7,0,0,0,0,0,0,0,1,STL,away
943e7963,T. Gillier,90,4,2,0,18,90.0,0,3,0,0,0,0,1,0,0,0,MTL,home
943e7963,B. Stuver,90,4,3,0,34,73.9,0,16,0,0,0,0,0,0,0,0,ATX,away
418fc14a,T. Melia,90,0,0,0,12,48.0,0,9,0,0,0,0,0,0,0,0,SKC,home
418fc14a,B. Stuver,90,0,2,0,26,74.3,0,10,0,0,0,0,0,0,0,0,ATX,away
29b5776b,D. St. Clair,90,5,1,0,13,61.9,0,7,0,0,0,0,0,0,0,0,MIN,home
29b5776b,H. Lloris,90,3,0,0,14,60.9,0,8,0,0,0,0,0,0,0,0,LAFC,away
b52e5d02,S. Clark,90,1,0,0,19,86.4,0,2,0,0,0,0,0,0,0,1,HOU,home
b52e5d02,H. Lloris,90,4,0,0,17,73.9,0,5,0,0,0,0,0,0,0,0,LAFC,away
46c35996,Y. Takaoka,90,3,0,0,19,86.4,0,1,0,0,0,0,0,0,0,0,VAN,home
46c35996,J. Pulskamp,90,2,3,0,17,58.6,0,3,0,0,0,0,0,0,0,0,SKC,away
04a4ef01,N. Micovic,90,3,1,0,21,65.6,0,10,0,0,0,0,0,0,0,1,LA,home
04a4ef01,D. St. Clair,90,5,2,0,23,71.9,0,7,0,0,0,1,0,0,0,0,MIN,away
f2a39a0d,N. Micovic,90,4,2,0,22,64.7,0,9,0,0,0,0,0,0,0,0,LA,home
f2a39a0d,C. dos Santos,90,3,0,0,28,82.3,0,6,0,0,0,0,0,0,0,0,SD,away
a42d286b,P. Gallese,90,2,0,0,14,66.7,0,3,0,0,0,0,0,0,0,0,ORL,home
a42d286b,K. Kahlina,90,2,2,0,12,54.5,0,7,0,0,0,0,0,0,0,0,CLT,away
3d509302,M. Crépeau,90,5,1,0,20,74.1,0,11,0,0,0,0,0,0,0,0,POR,home
3d509302,D. St. Clair,90,3,1,0,12,46.1,0,6,0,0,0,0,0,0,0,0,MIN,away
f69ff171,E. Louro,90,5,1,0,20,62.5,0,6,0,0,0,0,0,0,0,1,CIN,home
f69ff171,P. Gallese,90,8,1,0,15,65.2,0,11,0,0,0,0,0,0,0,0,ORL,away
f44e7815,B. Guzan,90,3,1,0,24,82.8,0,3,0,0,0,0,0,0,0,2,ATL,home
f44e7815,J. Farr,90,5,1,0,20,66.7,0,8,0,0,0,1,0,0,0,2,DC,away
443f75cd,J. McCarthy,90,2,2,0,8,47.1,0,7,0,0,0,0,0,0,0,0,LA,home
443f75cd,J. Pantemis,90,3,3,0,26,92.9,0,6,0,0,0,0,0,0,0,0,POR,away
5cd86fea,J. McCarthy,90,4,1,0,12,44.4,0,12,0,0,0,0,0,0,0,0,LA,home
5cd86fea,B. Stuver,90,2,2,0,29,90.6,0,7,0,0,0,1,0,0,0,1,ATX,away
5a3f9c8d,D. Ochoa,90,0,1,0,14,87.5,0,2,0,0,0,0,0,0,0,1,LAFC,home
5a3f9c8d,Y. Takaoka,90,4,0,0,22,62.9,0,12,0,0,0,0,0,0,0,0,VAN,away
03e67a89,A. Tarbell,90,2,4,0,21,84.0,0,6,0,0,0,0,0,0,0,0,HOU,home
03e67a89,O. Ustari,90,2,1,0,34,82.9,0,7,0,0,0,1,0,0,0,0,MIA,away
a4a542c6,B. Guzan,90,1,1,0,21,60.0,0,15,0,0,0,0,1,0,0,0,ATL,home
a4a542c6,N. Hagen,90,4,2,0,21,84.0,0,4,0,0,0,0,0,0,0,0,CLB,away
926e004b,P. Schulte,90,4,2,0,23,85.2,0,5,0,0,0,0,0,0,0,0,CLB,home
926e004b,R. Celentano,90,3,1,0,19,79.2,0,6,0,0,0,0,0,0,0,0,CIN,away
61077aac,M. Paes,90,1,0,0,22,55.0,0,9,0,0,0,0,0,0,0,0,DAL,home
61077aac,A. Rick,90,2,0,0,8,61.5,0,5,0,0,0,0,0,0,0,0,PHI,away
cc6df725,C. Coronel,90,4,3,0,31,81.6,0,9,0,0,0,0,0,0,0,2,RBNY,home
cc6df725,T. Romero,23,0,0,0,3,33.3,0,3,0,0,0,0,0,0,0,0,NYC,away
cc6df725,M. Freese,67,0,2,0,8,66.7,0,2,0,0,0,1,0,0,0,0,NYC,away
b923bacd,M. Paes,90,4,1,0,18,60.0,0,15,0,0,0,0,0,0,0,0,DAL,home
b923bacd,Y. Takaoka,90,0,0,0,18,69.2,0,6,0,0,0,0,0,0,0,0,VAN,away
7c89676f,K. Kahlina,90,5,1,0,39,63.9,0,20,0,0,0,0,0,0,0,0,CLT,home
7c89676f,D. De Sousa Britto,90,3,4,0,16,72.7,0,8,0,0,0,0,0,0,0,0,SJ,away
e2c09716,T. Melia,90,1,0,0,12,42.9,0,7,0,0,0,0,0,0,0,0,SKC,home
e2c09716,P. Gallese,90,3,3,0,16,84.2,0,3,0,0,0,0,0,0,0,0,ORL,away
a017f1c3,A. Ivacic,90,1,5,0,23,82.1,0,6,0,0,0,0,0,0,0,0,NE,home
a017f1c3,P. Schulte,90,4,1,0,25,75.8,0,15,0,0,0,0,0,0,0,1,CLB,away
4c49cfd5,S. Frei,90,2,0,0,14,58.3,0,8,0,0,0,0,0,0,0,0,SEA,home
4c49cfd5,J. Sirois,90,7,5,0,20,62.5,0,10,0,0,0,0,0,0,0,0,MTL,away
71d86e5c,R. Celentano,90,3,1,0,14,73.7,0,4,0,0,0,0,0,0,0,0,CIN,home
71d86e5c,K. Kahlina,90,8,0,0,16,64.0,0,8,0,0,0,0,0,0,0,0,CLT,away
6fdeb1ac,B. Lundt,90,2,0,0,23,76.7,0,7,0,0,0,2,0,0,0,1,STL,home
6fdeb1ac,Y. Takaoka,90,2,0,0,23,63.9,0,10,0,0,0,0,0,0,0,2,VAN,away
696cb4bd,R. Bürki,90,2,2,0,24,63.2,0,11,0,0,0,0,0,0,0,0,STL,home
696cb4bd,D. St. Clair,90,3,1,0,12,46.1,0,11,0,0,0,0,0,0,0,0,MIN,away
f0ac336b,J. Willis,90,2,1,0,21,95.5,0,2,0,0,0,1,0,0,0,0,NSH,home
f0ac336b,J. Bond,90,3,3,0,14,60.9,0,7,0,0,0,0,0,0,0,0,HOU,away
83862076,P. Gallese,90,1,2,0,14,93.3,0,1,0,0,0,0,0,0,0,0,ORL,home
83862076,P. Schulte,90,5,0,0,15,71.4,0,6,0,0,0,0,1,0,0,0,CLB,away
642975d2,W. Yarbrough,90,0,2,0,14,77.8,0,6,0,0,0,0,0,0,0,0,SJ,home
642975d2,R. Bürki,90,4,1,0,41,75.9,0,20,0,0,0,0,0,0,0,0,STL,away
6aa3dc9b,Z. MacMath,90,2,1,0,24,85.7,0,8,0,0,0,0,0,0,0,1,RSL,home
6aa3dc9b,J. McCarthy,90,4,0,0,13,52.0,0,7,0,0,0,2,0,0,0,0,LA,away
4b25b9e0,A. Ivacic,90,7,1,0,20,60.6,0,11,0,0,0,0,0,0,0,0,NE,home
4b25b9e0,B. Guzan,90,3,2,0,31,79.5,0,15,0,0,0,0,0,0,0,0,ATL,away
0e84114f,P. Schulte,90,3,2,0,16,66.7,0,6,0,0,0,0,0,0,0,0,CLB,home
0e84114f,M. Turner,90,5,1,0,19,51.4,0,10,0,0,0,0,0,0,0,0,NE,away
6d71a18f,P. Gallese,90,0,0,0,14,87.5,0,4,0,0,0,0,0,0,0,1,ORL,home
6d71a18f,B. Guzan,90,3,3,0,15,55.6,0,10,0,0,0,0,0,0,0,0,ATL,away
30673ef7,P. Schulte,90,2,1,0,28,84.8,0,4,0,0,0,0,0,0,0,1,CLB,home
30673ef7,R. Celentano,90,5,1,0,10,45.5,0,8,0,0,0,0,0,0,0,1,CIN,away
1fe8b757,R. Ríos Novo,49,0,0,0,9,60.0,0,7,0,0,0,0,0,0,0,0,MIA,home
1fe8b757,Ó. Ustari,38,0,0,0,8,100.0,0,3,0,0,1,0,0,1,0,0,MIA,home
1fe8b757,K. Kahlina,90,1,1,0,7,77.8,0,2,0,0,0,0,0,0,0,0,CLT,away
bda98dac,E. Panicco,90,2,2,0,10,52.6,0,7,0,0,0,0,0,0,0,0,NSH,home
bda98dac,P. Schulte,90,3,2,0,24,80.0,0,7,0,0,0,2,0,0,0,0,CLB,away
b332919e,J. Sirois,90,3,0,0,23,67.7,0,13,0,0,0,1,0,0,0,0,MTL,home
b332919e,T. Romero,90,5,1,0,21,87.5,0,5,0,0,0,0,0,0,0,1,NYC,away
2fa48a3b,R. Bürki,90,1,3,0,19,86.4,0,6,0,0,0,0,0,0,0,0,STL,home
2fa48a3b,J. Bond,90,2,2,0,12,57.1,0,10,0,0,0,1,0,0,0,1,HOU,away
9475d1a5,J. Hibbert,90,2,0,0,24,82.8,0,5,0,0,0,0,0,0,0,2,ATL,home
9475d1a5,S. Johnson,90,1,0,0,18,78.3,0,2,0,0,0,0,0,0,0,1,TOR,away
848de7b4,D. Callender,90,2,2,0,10,52.6,0,7,0,0,0,0,0,0,0,0,MIA,home
848de7b4,Z. Steffen,90,5,2,0,14,63.6,0,4,0,0,0,0,0,0,0,0,COL,away
2ca5d138,H. Lloris,90,3,2,0,21,100.0,0,5,0,0,0,0,0,0,0,0,LAFC,home
2ca5d138,M. Crépeau,90,8,3,0,24,66.7,0,7,0,0,0,0,0,0,0,0,POR,away
d0b1a78d,S. Johnson,90,4,1,0,22,61.1,0,11,0,0,0,0,0,0,0,1,TOR,home
