match_id,date,minute,title,comment,out_player,in_player,home_team,away_team
919a513b,2025-05-04,,Full Time,"Second half ends, New York City Football Club 1, FC Cincinnati 0.",,,New York City,Cincinnati
919a513b,2025-05-04,,End Of Second Half,End of match.,,,New York City,Cincinnati
919a513b,2025-05-04,90'+2,Yellow Card,Evander Da Silva Ferreira (FC Cincinnati) is shown the yellow card for the foul.,,,New York City,Cincinnati
919a513b,2025-05-04,90'+2,,"Maxi Moralez (New York City Football Club) wins a free kick, after being fouled by Evander Da Silva Ferreira (FC Cincinnati).",,,New York City,Cincinnati
919a513b,2025-05-04,90'+2,,"Birk Risa (New York City Football Club) wins a free kick, after being fouled by Kévin Denkey (FC Cincinnati).",,,New York City,Cincinnati
919a513b,2025-05-04,90'+1,,"Mounsef Bakrar (New York City Football Club) wins a free kick, after being fouled by Brad Smith (FC Cincinnati).",,,New York City,Cincinnati
919a513b,2025-05-04,,,"Birk Risa (New York City Football Club) wins a free kick, after being fouled by Gerardo Valenzuela (FC Cincinnati).",,,New York City,Cincinnati
919a513b,2025-05-04,89',,,L. Engel,Brad Smith,New York City,Cincinnati
919a513b,2025-05-04,,,"Corner from the right, (New York City Football Club). Executed by Hannes Wolf.",,,New York City,Cincinnati
919a513b,2025-05-04,88',Attempt Saved,Attempt blocked. Mounsef Bakrar's (New York City Football Club) with right footed shot from the right side of the box with an xG of 11% is blocked by Gilberto Flores.,,,New York City,Cincinnati
919a513b,2025-05-04,86',,"Thiago Martins (New York City Football Club) wins a free kick, after being fouled by Sergio Santos (FC Cincinnati).",,,New York City,Cincinnati
919a513b,2025-05-04,85',,,A. Martínez,M. Bakrar,New York City,Cincinnati
919a513b,2025-05-04,85',,,J. Fernández,A. Ojeda,New York City,Cincinnati
919a513b,2025-05-04,85',,"Corner from the left, (FC Cincinnati). Executed by Evander Da Silva Ferreira.",,,New York City,Cincinnati
919a513b,2025-05-04,83',,"Evander Da Silva Ferreira (FC Cincinnati) wins a free kick, after being fouled by Justin Haak (New York City Football Club).",,,New York City,Cincinnati
919a513b,2025-05-04,81',,,L. Orellano,C. Baird,New York City,Cincinnati
919a513b,2025-05-04,79',Attempt Saved,Attempt blocked. Miles Robinson's (FC Cincinnati) with right footed shot from the centre of the box with an xG of 15% is blocked by Nico Cavallo.,,,New York City,Cincinnati
919a513b,2025-05-04,79',,"Corner from the right, (FC Cincinnati). Executed by Luca Orellano.",,,New York City,Cincinnati
919a513b,2025-05-04,79',Attempt Saved,Attempt saved. Gerardo Valenzuela's (FC Cincinnati) with right footed shot from the centre of the box with an xG of 25% is saved by Matt Freese.,,,New York City,Cincinnati
