match_id,date,minute,title,comment,out_player,in_player,home_team,away_team
942230ce,2025-03-07,,Full Time,"Second half ends, Charlotte FC 3, Austin FC 1.",,,Charlotte,Austin
942230ce,2025-03-07,,End Of Second Half,End of match.,,,Charlotte,Austin
942230ce,2025-03-07,90'+8,Post,Pep Biel (Charlotte FC) hits the cross bar from the right side of the box with an xG of 9%.,,,Charlotte,Austin
942230ce,2025-03-07,90'+8,Attempt Missed,Wilfried Zaha (Charlotte FC) with right footed shot from the left side of the box with an xG of 3%.,,,Charlotte,Austin
942230ce,2025-03-07,90'+8,,"Corner from the right, (Charlotte FC). Executed by Pep Biel.",,,Charlotte,Austin
942230ce,2025-03-07,90'+7,Attempt Saved,Attempt saved. Kerwin Vargas's (Charlotte FC) with right footed shot from the right side of the box with an xG of 7% is saved by Brad Stuver.,,,Charlotte,Austin
942230ce,2025-03-07,90'+5,,"Corner from the left, (Charlotte FC). Executed by Aron John.",,,Charlotte,Austin
942230ce,2025-03-07,90'+5,,,A. Westwood,A. John,Charlotte,Austin
942230ce,2025-03-07,90'+4,,"Corner from the left, (Charlotte FC). Executed by Wilfried Zaha.",,,Charlotte,Austin
942230ce,2025-03-07,90'+4,Attempt Saved,Attempt blocked. Kerwin Vargas's (Charlotte FC) with left footed shot from the right half-space outside the box with an xG of 4% is blocked by Brendan Hines-Ike.,,,Charlotte,Austin
942230ce,2025-03-07,90'+3,Goal,"Goal! 3:1. Pep Biel (Charlotte FC) scored with left footed shot from the center of the box with an xG of 10% to the middle left zone. Assisted by Luca de la Torre, second assist by Wilfried Zaha.",,,Charlotte,Austin
942230ce,2025-03-07,90'+2,,"Corner from the right, (Charlotte FC). Executed by Pep Biel.",,,Charlotte,Austin
942230ce,2025-03-07,90'+2,Attempt Saved,Attempt saved. Wilfried Zaha's (Charlotte FC) with right footed shot from the center of the box with an xG of 3% is saved by Brad Stuver.,,,Charlotte,Austin
942230ce,2025-03-07,90'+2,,"Corner from the right, (Charlotte FC). Executed by Pep Biel.",,,Charlotte,Austin
942230ce,2025-03-07,90'+1,Attempt Saved,Attempt saved. Idan Toklomati's (Charlotte FC) with right footed shot from the center of the box with an xG of 18% is saved by Brad Stuver.,,,Charlotte,Austin
942230ce,2025-03-07,89',Attempt Saved,Attempt saved. Idan Toklomati's (Charlotte FC) with right footed shot from the center of the box with an xG of 10% is saved by Brad Stuver.,,,Charlotte,Austin
942230ce,2025-03-07,88',,"Tim Ream (Charlotte FC) wins a free kick, after being fouled by Facundo Torres (Austin FC).",,,Charlotte,Austin
942230ce,2025-03-07,83',,"Corner from the left, (Austin FC). Executed by Facundo Torres.",,,Charlotte,Austin
942230ce,2025-03-07,81',Attempt Saved,Attempt saved. Harry Toffolo's (Charlotte FC) with left footed shot from the left half-space outside the box with an xG of 2% is saved by Brad Stuver.,,,Charlotte,Austin
942230ce,2025-03-07,81',,"CJ Fodrey (Austin FC) wins a free kick, after being fouled by Luca de la Torre (Charlotte FC).",,,Charlotte,Austin
942230ce,2025-03-07,79',,"Wilfried Zaha (Charlotte FC) wins a free kick, after being fouled by Jon Gallagher (Austin FC).",,,Charlotte,Austin
942230ce,2025-03-07,78',Attempt Saved,Attempt blocked. Pep Biel's (Charlotte FC) with right footed shot from the right side of the box with an xG of 6% is blocked by Brendan Hines-Ike.,,,Charlotte,Austin
942230ce,2025-03-07,77',,"Ashley Westwood (Charlotte FC) wins a free kick, after being fouled by Besard Sabovic (Austin FC).",,,Charlotte,Austin
942230ce,2025-03-07,77',,"Idan Toklomati (Charlotte FC) wins a free kick, after being fouled by Oleksandr Svatok (Austin FC).",,,Charlotte,Austin
942230ce,2025-03-07,76',Attempt Saved,Attempt blocked. Luca de la Torre's (Charlotte FC) with left footed shot from the central position outside the box with an xG of 3% is blocked by CJ Fodrey.,,,Charlotte,Austin
942230ce,2025-03-07,75',,"Corner from the right, (Charlotte FC). Executed by Pep Biel.",,,Charlotte,Austin
942230ce,2025-03-07,75',,,M. Uzuni,C. Ramírez,Charlotte,Austin
942230ce,2025-03-07,74',,,J. Rosales,C. Fodrey,Charlotte,Austin
942230ce,2025-03-07,74',,,I. Sánchez,B. Sabovic,Charlotte,Austin
942230ce,2025-03-07,74',Attempt Saved,Attempt blocked. Luca de la Torre's (Charlotte FC) with left footed shot from the center of the box with an xG of 8% is blocked by Brendan Hines-Ike.,,,Charlotte,Austin
942230ce,2025-03-07,69',,,L. Abada,K. Vargas,Charlotte,Austin
942230ce,2025-03-07,69',,,B. Bronico,L. de la Torre,Charlotte,Austin
942230ce,2025-03-07,68',Goal,"Goal! 2:1. Pep Biel (Charlotte FC) scored with left footed shot from the center of the box with an xG of 66% to the central zone. Assisted by Liel Abada, second assist by Harry Toffolo.",,,Charlotte,Austin
942230ce,2025-03-07,67',,"Offside, Austin FC. Facundo Torres is caught offside.",,,Charlotte,Austin
942230ce,2025-03-07,64',Yellow Card,Liel Abada (Charlotte FC) is shown the yellow card,,,Charlotte,Austin
942230ce,2025-03-07,64',,"Nicolás Dubersarsky (Austin FC) wins a free kick, after being fouled by Liel Abada (Charlotte FC).",,,Charlotte,Austin
942230ce,2025-03-07,63',Attempt Missed,Attempt missed. Wilfried Zaha's (Charlotte FC) with right footed shot from the center of the box with an xG of 13% misses to the right.,,,Charlotte,Austin
942230ce,2025-03-07,61',,"Joseph Rosales (Austin FC) wins a free kick, after being fouled by Idan Toklomati (Charlotte FC).",,,Charlotte,Austin
942230ce,2025-03-07,60',,"Corner from the right, (Austin FC). Executed by Facundo Torres.",,,Charlotte,Austin
942230ce,2025-03-07,58',Yellow Card,Myrto Uzuni (Austin FC) is shown the yellow card,,,Charlotte,Austin
942230ce,2025-03-07,55',,Foul by Brandt Bronico (Charlotte FC).,,,Charlotte,Austin
942230ce,2025-03-07,55',Attempt Saved,Attempt blocked. Pep Biel's (Charlotte FC) with left footed shot from the center of the box with an xG of 9% is blocked by Brandt Bronico.,,,Charlotte,Austin
942230ce,2025-03-07,54',,"Ashley Westwood (Charlotte FC) wins a free kick, after being fouled by Myrto Uzuni (Austin FC).",,,Charlotte,Austin
942230ce,2025-03-07,53',,"Corner from the left, (Charlotte FC). Executed by Ashley Westwood.",,,Charlotte,Austin
942230ce,2025-03-07,53',Attempt Saved,Attempt blocked. Harry Toffolo's (Charlotte FC) with left footed shot from the left half-space outside the box with an xG of 3% is blocked by Ilie Sánchez.,,,Charlotte,Austin
942230ce,2025-03-07,51',,"Corner from the left, (Charlotte FC). Executed by Ashley Westwood.",,,Charlotte,Austin
942230ce,2025-03-07,49',Attempt Saved,Attempt blocked. Pep Biel's (Charlotte FC) with left footed shot from the center of the box with an xG of 8% is blocked by Harry Toffolo.,,,Charlotte,Austin
942230ce,2025-03-07,,,"Corner from the right, (Charlotte FC). Executed by Pep Biel.",,,Charlotte,Austin
942230ce,2025-03-07,47',Attempt Saved,Attempt blocked. Harry Toffolo's (Charlotte FC) with left footed shot from the central position outside the box with an xG of 4% is blocked by Oleksandr Svatok.,,,Charlotte,Austin
942230ce,2025-03-07,,Kick Off,"Second Half begins: Charlotte FC 1, Austin FC 1.",,,Charlotte,Austin
942230ce,2025-03-07,,Half Time,"First half ends, Charlotte FC 1, Austin FC 1.",,,Charlotte,Austin
942230ce,2025-03-07,45'+10,,"Liel Abada (Charlotte FC) wins a free kick, after being fouled by Joseph Rosales (Austin FC).",,,Charlotte,Austin
942230ce,2025-03-07,45'+9,Attempt Missed,Attempt missed. Wilfried Zaha's (Charlotte FC) with right footed shot from the left side of the box with an xG of 5% goes over.,,,Charlotte,Austin
942230ce,2025-03-07,,,"Corner from the left, (Charlotte FC). Executed by Ashley Westwood.",,,Charlotte,Austin
942230ce,2025-03-07,45'+5,Attempt Missed,Attempt missed. Joseph Rosales's (Austin FC) with left footed shot from the left half-space outside the box with an xG of 2% goes over to the left.,,,Charlotte,Austin
942230ce,2025-03-07,45'+1,,"Wilfried Zaha (Charlotte FC) wins a free kick, after being fouled by Myrto Uzuni (Austin FC).",,,Charlotte,Austin
942230ce,2025-03-07,45'+1,,"Corner from the left, (Charlotte FC). Executed by Ashley Westwood.",,,Charlotte,Austin
942230ce,2025-03-07,41',,"Myrto Uzuni (Austin FC) wins a free kick, after being fouled by Harry Toffolo (Charlotte FC).",,,Charlotte,Austin
942230ce,2025-03-07,38',Attempt Saved,Attempt saved. Harry Toffolo's (Charlotte FC) with header from the right side of the box with an xG of 2% is saved by Brad Stuver.,,,Charlotte,Austin
942230ce,2025-03-07,38',,"Corner from the left, (Charlotte FC). Executed by Ashley Westwood.",,,Charlotte,Austin
942230ce,2025-03-07,36',,,D. Pereira,N. Dubersarsky,Charlotte,Austin
