event_id,match_id,event_minute,event_type,event_comment
14,c21a2e5d,19',Attempt Missed,Attempt missed. Preston Judd's (San Jose Earthquakes) with left footed shot from the center of the box with an xG of 42% misses to the right.
13,c21a2e5d,18',Foul,"Manu Duah (San Diego FC) wins a free kick, after being fouled by Jack Skahan (San Jose Earthquakes)."
12,c21a2e5d,18',Foul,"Ousseni Bouda (San Jose Earthquakes) wins a free kick, after being fouled by David Vazquez (San Diego FC)."
11,c21a2e5d,18',Corner,"Corner from the left, (San Diego FC). Executed by Lewis Morgan."
10,c21a2e5d,15',Offside,"Offside, San Jose Earthquakes. Preston Judd is caught offside."
9,c21a2e5d,13',Corner,Goal! 1:0. Niko Tsakiris (San Jose Earthquakes) scored with left footed shot from the left side of the box with an xG of 3% to the top left corner. Assisted by Preston Judd.
8,c21a2e5d,12',Foul,"Oscar Verhoeven (San Diego FC) wins a free kick, after being fouled by Jamar Ricketts (San Jose Earthquakes)."
7,c21a2e5d,11',Yellow Card,Ousseni Bouda (San Jose Earthquakes) is shown the yellow card
6,c21a2e5d,11',Foul,"David Vazquez (San Diego FC) wins a free kick, after being fouled by Ousseni Bouda (San Jose Earthquakes)."
5,c21a2e5d,10',Foul,"Benji Kikanovic (San Jose Earthquakes) wins a free kick, after being fouled by David Vazquez (San Diego FC)."
4,c21a2e5d,7',Attempt Saved,Attempt saved. Marcus Ingvartsen's (San Diego FC) with right footed shot from the center of the box with an xG of 26% is saved by Daniel De Sousa Britto.
3,c21a2e5d,5',Attempt Missed,Attempt missed. Ousseni Bouda's (San Jose Earthquakes) from the center of the box with an xG of 8% misses to the left.
2,c21a2e5d,5',Attempt Saved,Attempt saved. Preston Judd's (San Jose Earthquakes) with left footed shot from the left side of the box with an xG of 6% is saved by Duran Ferree.
1,c21a2e5d,2',Foul,Foul by Jack Skahan (San Jose Earthquakes).
74,e93f5eae,90'+13,Attempt Missed,Attempt missed. Dániel Sallói's (Toronto FC) with right footed shot from the right side of the box with an xG of 2% goes over.
73,e93f5eae,90'+12,Corner,"Corner from the right, (Toronto FC). Executed by Jonathan Osorio."
72,e93f5eae,90'+10,Attempt Saved,Attempt blocked. Emilio Aristizábal's (Toronto FC) with right footed shot from the right side of the box with an xG of 3% is blocked by Rob Holding.
71,e93f5eae,90'+9,Foul,"Jonathan Osorio (Toronto FC) wins a free kick, after being fouled by Hamzat Ojediran (Colorado Rapids)."
70,e93f5eae,90'+8,Corner,"Corner from the right, (Toronto FC). Executed by Jonathan Osorio."
69,e93f5eae,90'+6,Attempt Missed,Attempt missed. Emilio Aristizábal's (Toronto FC) with right footed shot from the center of the box with an xG of 49% misses to the left.
68,e93f5eae,90'+5,Corner,"Corner from the right, (Colorado Rapids). Executed by Keegan Rosenberry."
67,e93f5eae,90'+4,Corner,"Corner from the left, (Colorado Rapids). Executed by Keegan Rosenberry."
66,e93f5eae,90'+3,Foul,"Keegan Rosenberry (Colorado Rapids) wins a free kick, after being fouled by José Cifuentes (Toronto FC)."
65,e93f5eae,90'+2,Yellow Card,Hamzat Ojediran (Colorado Rapids) is shown the yellow card
64,e93f5eae,90'+2,Foul,"Dániel Sallói (Toronto FC) wins a free kick, after being fouled by Hamzat Ojediran (Colorado Rapids)."
63,e93f5eae,90'+1,Corner,"Corner from the left, (Toronto FC). Executed by Jonathan Osorio."
62,e93f5eae,90',Substitution,"Substitution: J. Sargent out, Emilio in"
61,e93f5eae,89',Yellow Card,Noah Cobb (Colorado Rapids) is shown the yellow card
60,e93f5eae,86',Yellow Card,Richie Laryea (Toronto FC) is shown the yellow card
59,e93f5eae,85',Goal,Goal! 3:2. Josh Sargent (Toronto FC) scored with header from the center of the box with an xG of 11% to the lower right central zone. Assisted by Alonso Coello.
58,e93f5eae,85',Corner,"Corner from the left, (Toronto FC). Executed by Alonso Coello."
57,e93f5eae,84',Substitution,"Substitution: P. Aaronson out, N. Cobb in"
56,e93f5eae,84',Substitution,"Substitution: A. Manyoma out, I. Murphy in"
55,e93f5eae,84',Substitution,"Substitution: R. Navarro out, D. Yapi in"
54,e93f5eae,82',Attempt Saved,Attempt saved. Dániel Sallói's (Toronto FC) with right footed shot from the left side of the box with an xG of 5% is saved by Zack Steffen.
53,e93f5eae,79',Foul,"Alexis Manyoma (Colorado Rapids) wins a free kick, after being fouled by Alonso Coello (Toronto FC)."
52,e93f5eae,77',Own Goal,Own goal! 2:2. Zack Steffen (Colorado Rapids) scored an own goal from the center of the box.
51,e93f5eae,74',Second Yellow,Miguel Navarro (Colorado Rapids) is shown the second yellow (red) card
50,e93f5eae,74',Foul,"Richie Laryea (Toronto FC) wins a free kick, after being fouled by Miguel Navarro (Colorado Rapids)."
49,e93f5eae,74',Substitution,"Substitution: J. Atencio out, A. Manyoma in"
48,e93f5eae,73',Yellow Card,Josh Atencio (Colorado Rapids) is shown the yellow card
47,e93f5eae,73',Foul,"José Cifuentes (Toronto FC) wins a free kick, after being fouled by Rafael Navarro (Colorado Rapids)."
46,e93f5eae,71',Offside,"Offside, Toronto FC. Richie Laryea is caught offside."
45,e93f5eae,69',Yellow Card,Zane Monlouis (Toronto FC) is shown the yellow card
44,e93f5eae,69',Foul,"Rafael Navarro (Colorado Rapids) wins a free kick, after being fouled by Zane Monlouis (Toronto FC)."
43,e93f5eae,68',Foul,"Miguel Navarro (Colorado Rapids) wins a free kick, after being fouled by Richie Laryea (Toronto FC)."
42,e93f5eae,65',Corner,"Goal! 1:2. Richie Laryea (Toronto FC) scored with right footed shot from the right wing with an xG of 2% to the top right corner. Assisted by Josh Sargent, second assist by José Cifuentes."
41,e93f5eae,64',Yellow Card,Miguel Navarro (Colorado Rapids) is shown the yellow card
40,e93f5eae,64',Foul,Foul by Miguel Navarro (Colorado Rapids).
39,e93f5eae,60',Offside,"Offside, Toronto FC. Matheus Pereira is caught offside."
38,e93f5eae,59',Attempt Missed,Benjamín Kuscevic (Toronto FC) with header from the center of the box with an xG of 8%.
37,e93f5eae,59',Corner,"Corner from the right, (Toronto FC). Executed by Alonso Coello."
36,e93f5eae,58',Attempt Missed,José Cifuentes (Toronto FC) with left footed shot from the central position outside the box with an xG of 2%.
35,e93f5eae,58',Corner,"Corner from the left, (Toronto FC). Executed by Alonso Coello."
34,e93f5eae,56',Attempt Missed,Attempt missed. José Cifuentes's (Toronto FC) with right footed shot from the left half-space outside the box with an xG of 2% misses to the left.
33,e93f5eae,56',Corner,"Corner from the right, (Toronto FC). Executed by Alonso Coello."
32,e93f5eae,56',Substitution,"Substitution: W. Zimmerman out, Z. Monlouis in"
31,e93f5eae,55',Attempt Saved,Attempt blocked. Josh Sargent's (Toronto FC) with right footed shot from the center of the box with an xG of 8% is blocked by Lucas Herrington.
30,e93f5eae,55',Foul,"Richie Laryea (Toronto FC) wins a free kick, after being fouled by Paxten Aaronson (Colorado Rapids)."
29,e93f5eae,54',Goal,Goal! 0:2. Keegan Rosenberry (Colorado Rapids) scored with right footed shot from the right side of the box with an xG of 7% to the lower right zone.
28,e93f5eae,52',Foul,"Miguel Navarro (Colorado Rapids) wins a free kick, after being fouled by José Cifuentes (Toronto FC)."
27,e93f5eae,52',Substitution,"Substitution: D. Kerr out, M. Pereira in"
26,e93f5eae,51',Corner,Goal! 0:1. Paxten Aaronson (Colorado Rapids) scored from free kick with right footed shot from the central position outside the box with an xG of 12% to the bottom left corner.
25,e93f5eae,49',Red card,Raheem Edwards (Toronto FC) is shown the red card
