match_id,date,home_team,away_team,home_team_score,away_team_score
3794403e,2024-06-01,Portland,Houston,2,2
f2387249,2025-09-13,Montréal,St. Louis,0,2
5e99205e,2025-05-03,Columbus,Charlotte,4,2
