player,mins_played,goals,expected_goals,total_scoring_att,ontarget_scoring_att,accurate_pass_per_match_hub,goal_assist,accurate_pass,accurate_cross,corner_taken,total_att_assist,aerial_duel,aerial_duel_per,fouls,was_fouled,total_offside,yellow_card,total_red_card,club,side,match_id
J. Pantemis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,home,3794403e
K. Miller,90,0,0.13,1,1,89.4,0,59,0,0,0,3,60,1,0,0,0,0,POR,home,3794403e
E. Miller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,home,3794403e
C. Bravo,62,0,0,0,0,70.6,0,24,0,0,1,0,0,0,1,0,0,0,POR,home,3794403e
D. Zuparic,90,0,0.02,1,1,86.8,0,46,0,0,0,1,100,2,0,0,1,0,POR,home,3794403e
Z. McGraw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,home,3794403e
J. Mosquera,90,0,0.07,1,0,83.3,0,30,0,0,0,4,100,1,3,0,0,0,POR,home,3794403e
E. Williamson,8,0,0,0,0,87.5,0,7,0,0,1,0,0,1,0,0,1,0,POR,home,3794403e
D. Chará,75,0,0,0,0,87.1,0,27,1,0,2,1,100,3,0,0,1,0,POR,home,3794403e
C. Paredes,62,0,0,0,0,82.9,0,29,0,0,0,1,100,3,2,0,0,0,POR,home,3794403e
D. Ayala,28,0,0.05,1,0,85.7,0,12,0,0,1,1,100,2,1,0,0,0,POR,home,3794403e
S. Moreno,82,0,0,0,0,82.6,0,19,0,1,1,1,100,1,1,0,0,0,POR,home,3794403e
F. Mora,45,1,0.5,1,1,85.7,0,6,0,0,0,0,0,1,0,0,0,0,POR,home,3794403e
D. Asprilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,home,3794403e
N. Fogaça,15,1,0.44,2,1,0,0,0,0,0,0,2,100,0,1,0,0,0,POR,home,3794403e
E. Da Silva Ferreira,90,0,0.14,3,0,68.4,2,26,1,6,4,0,0,2,2,0,1,0,POR,home,3794403e
J. Rodríguez,90,0,0.42,4,0,82.1,1,23,1,0,2,4,57.14,1,0,1,0,0,POR,home,3794403e
M. Araujo,28,0,0,0,0,86.7,0,13,0,0,0,1,50,1,0,0,0,0,POR,home,3794403e
A. Alves Santos,45,0,0,0,0,83.3,0,5,0,0,0,0,0,1,1,0,0,0,POR,home,3794403e
J. De Lima Junior,90,0,0,0,0,89.3,0,50,0,0,0,0,0,1,3,0,0,0,HOU,away,3794403e
B. Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU,away,3794403e
X. Valdez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU,away,3794403e
D. Steres,90,0,0,0,0,86,0,43,0,0,0,2,66.67,1,1,0,0,0,HOU,away,3794403e
E. Bartlow,90,0,0,0,0,72.4,0,42,0,0,0,2,50,0,1,0,0,0,HOU,away,3794403e
M. dos Santos Silva,90,0,0.1,1,0,81.8,0,45,0,0,0,0,0,2,0,0,1,0,HOU,away,3794403e
H. Herrera,90,0,0,0,0,90.5,1,76,3,8,2,1,25,1,2,1,1,0,HOU,away,3794403e
C. Carrasquilla,90,1,0.18,1,1,90.3,0,28,0,0,1,1,100,1,5,2,0,0,HOU,away,3794403e
G. Dorsey,3,0,0,0,0,75,0,3,0,0,0,1,100,0,0,0,1,0,HOU,away,3794403e
B. Raines,3,0,0,0,0,80,0,4,0,0,0,0,0,0,1,0,1,0,HOU,away,3794403e
S. Ferreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU,away,3794403e
F. Escobar,87,0,0,0,0,91.9,0,34,0,0,1,2,66.67,2,0,0,1,0,HOU,away,3794403e
L. Blessing,57,0,0,0,0,88.9,0,16,0,0,0,0,0,1,1,0,0,0,HOU,away,3794403e
T. Schmitt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU,away,3794403e
A. Bassi,87,0,0.21,3,0,83.3,0,35,0,0,0,1,100,1,1,0,1,0,HOU,away,3794403e
E. Sviatchenko,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU,away,3794403e
I. Aliyu,33,0,0.03,1,1,100,0,6,0,0,0,1,33.33,1,1,2,0,0,HOU,away,3794403e
S. Kowalczyk,89,1,0.54,1,1,87.8,0,36,0,0,1,0,0,1,4,0,0,0,HOU,away,3794403e
J. Valverde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU,away,3794403e
S. Piette,56,0,0.08,1,0,91.9,0,34,0,0,0,0,0,2,1,0,1,0,MTL,home,f2387249
S. Ibrahim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,home,f2387249
F. Herbers,34,0,0.09,1,0,93.3,0,14,0,0,0,1,100,0,0,0,0,0,MTL,home,f2387249
B. Duke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,home,f2387249
B. Craig,90,0,0,0,0,85.5,0,53,0,2,1,2,66.67,0,0,0,0,0,MTL,home,f2387249
B. Hidalgo,4,0,0,0,0,100,0,2,0,0,0,0,0,0,1,0,0,0,MTL,home,f2387249
L. Petrasso,90,0,0.19,1,0,87.5,0,28,1,0,1,1,100,1,1,0,0,0,MTL,home,f2387249
D. Sealy,56,0,0.07,2,0,87,0,20,0,2,1,0,0,1,1,0,0,0,MTL,home,f2387249
E. Morales,34,0,0,0,0,96.7,0,29,0,0,0,1,50,2,0,0,0,0,MTL,home,f2387249
O. Escobar,17,0,0,0,0,33.3,0,2,0,0,0,0,0,0,0,0,0,0,MTL,home,f2387249
F. Álvarez,56,0,0,0,0,81.8,0,27,0,0,0,0,0,0,0,0,0,0,MTL,home,f2387249
P. Owusu,90,0,0.64,4,2,63.2,0,12,0,0,1,2,40,2,0,1,0,0,MTL,home,f2387249
M. Longstaff,90,0,0.06,1,1,82.3,0,51,0,0,2,0,0,0,0,0,0,0,MTL,home,f2387249
D. Bugaj,86,0,0.01,1,0,80.8,0,21,1,0,1,1,100,1,1,0,0,0,MTL,home,f2387249
H. Synchuk,34,0,0.02,1,0,89.5,0,17,2,3,1,0,0,0,2,1,0,0,MTL,home,f2387249
V. Loturi,90,0,0.05,1,0,94.4,0,51,0,0,1,0,0,2,0,0,1,0,MTL,home,f2387249
A. Guboglo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,home,f2387249
T. Gillier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,home,f2387249
I. Jaime,73,0,0.32,4,0,78.6,0,22,1,1,3,0,0,0,3,0,0,0,MTL,home,f2387249
C. Durkin,61,0,0,0,0,75,0,9,0,0,0,1,100,2,2,0,1,0,STL,away,f2387249
D. Padelford,90,0,0,0,0,87.5,0,14,0,0,0,0,0,2,1,0,0,0,STL,away,f2387249
H. Kessler,90,0,0,0,0,88.1,0,37,0,0,0,1,50,0,1,0,0,0,STL,away,f2387249
A. Morales,29,0,0,0,0,100,0,16,0,0,0,0,0,0,0,0,0,0,STL,away,f2387249
M. Joyner,29,0,0,0,0,100,0,10,1,0,0,1,100,2,0,0,0,0,STL,away,f2387249
K. Hiebert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STL,away,f2387249
C. Pompeu,73,0,0.03,1,0,83.3,0,20,0,0,1,0,0,0,0,1,0,0,STL,away,f2387249
J. Klauss,90,0,0.26,3,1,85.2,1,23,0,0,3,1,33.33,2,2,0,0,0,STL,away,f2387249
E. Löwen,85,0,0.21,2,1,90.6,0,48,0,0,3,0,0,1,0,0,0,0,STL,away,f2387249
B. Lundt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STL,away,f2387249
T. Ostrak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STL,away,f2387249
J. Sang-bin,61,0,0,0,0,58.8,1,10,0,0,0,1,100,1,2,1,0,0,STL,away,f2387249
T. Totland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STL,away,f2387249
B. McSorley,17,0,0.06,1,0,100,0,4,0,0,0,0,0,1,1,0,0,0,STL,away,f2387249
S. Antwi,5,0,0,0,0,100,0,4,0,0,1,0,0,0,0,0,0,0,STL,away,f2387249
M. Hartel,90,1,0.42,3,1,88.6,0,31,1,0,1,0,0,0,1,0,0,0,STL,away,f2387249
T. Baumgartl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STL,away,f2387249
C. Wallem,90,1,0.5,3,1,82.8,0,24,1,0,2,0,0,1,0,0,0,0,STL,away,f2387249
F. Fall,90,0,0,0,0,96.3,0,52,0,0,0,2,66.67,0,1,0,0,0,STL,away,f2387249
A. Sejdić,7,0,0,0,0,66.7,0,2,0,0,0,0,0,0,0,0,0,0,CLB,home,5e99205e
L. Lappalainen,1,0,0,0,0,33.3,0,1,0,0,0,0,0,1,0,0,0,0,CLB,home,5e99205e
D. Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLB,home,5e99205e
E. Bush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLB,home,5e99205e
S. Moreira,90,0,0,0,0,95.7,0,67,0,0,2,0,0,0,0,0,0,0,CLB,home,5e99205e
M. Farsi,89,0,0.09,2,1,90,2,63,0,0,1,0,0,1,0,0,0,0,CLB,home,5e99205e
D. Nagbe,90,0,0,0,0,98.4,0,60,0,0,1,0,0,0,1,0,0,0,CLB,home,5e99205e
S. Zawadzki,90,0,0.43,1,1,90.2,0,55,0,0,0,2,50,2,1,0,1,0,CLB,home,5e99205e
J. Russell-Rowe,89,1,0.31,3,2,85.7,0,30,0,0,2,1,50,2,0,0,1,0,CLB,home,5e99205e
A. Jackson,83,1,0.4,3,2,89.5,0,34,0,0,0,0,0,0,1,1,0,0,CLB,home,5e99205e
M. Amundsen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLB,home,5e99205e
D. Rossi,83,1,1.56,5,4,86.5,0,45,0,2,2,0,0,1,1,0,0,0,CLB,home,5e99205e
T. Habroune,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLB,home,5e99205e
M. Arfsten,90,0,0,0,0,94.2,1,49,1,0,2,0,0,2,1,0,0,0,CLB,home,5e99205e
I. Aliyu,7,0,0,0,0,100,0,2,0,0,0,0,0,0,0,0,0,0,CLB,home,5e99205e
Y. Cheberko,90,0,0,0,0,97.4,0,75,1,0,0,1,50,1,0,0,0,0,CLB,home,5e99205e
D. Chambost,90,1,0.98,4,2,89.5,0,85,1,7,2,1,100,0,1,0,0,0,CLB,home,5e99205e
C. Ruvalcaba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLB,home,5e99205e
A. Malanda,90,0,0.07,1,0,85.5,0,65,0,0,0,1,100,0,0,0,0,0,CLT,away,5e99205e
B. Bronico,90,0,0.05,1,0,80.5,0,33,0,0,0,1,50,1,1,0,0,0,CLT,away,5e99205e
K. Vargas,7,0,0.07,1,0,100,0,7,1,1,1,0,0,0,1,0,0,0,CLT,away,5e99205e
D. Bingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLT,away,5e99205e
E. Williamson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLT,away,5e99205e
B. Tuiloma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLT,away,5e99205e
J. Marshall-Rutty,29,0,0,0,0,92.3,0,24,0,0,0,0,0,0,0,0,0,0,CLT,away,5e99205e
P. Agyemang,82,0,0.53,3,0,90.9,0,20,0,0,1,3,100,2,1,1,0,0,CLT,away,5e99205e
A. Privett,90,0,0,0,0,93.9,0,62,0,0,0,1,100,0,0,0,0,0,CLT,away,5e99205e
N. Scardina,61,0,0,0,0,82.8,0,24,0,0,0,0,0,1,1,0,0,0,CLT,away,5e99205e
A. Westwood,90,0,0,0,0,90.4,0,47,1,2,1,0,0,1,1,0,0,0,CLT,away,5e99205e
I. Tavares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLT,away,5e99205e
N. Petkovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLT,away,5e99205e
T. Ream,90,0,0,0,0,85.1,0,57,0,0,0,0,0,0,0,0,0,0,CLT,away,5e99205e
D. Diani,61,0,0,0,0,88.2,0,15,0,0,0,1,50,0,2,0,0,0,CLT,away,5e99205e
T. Smalls,8,0,0,0,0,100,0,2,0,0,0,0,0,0,0,0,0,0,CLT,away,5e99205e
L. Abada,83,1,0.29,2,1,81,0,17,0,0,1,0,0,1,1,0,0,0,CLT,away,5e99205e
I. Toklomati,29,0,0,0,0,50,0,2,0,0,0,0,0,0,0,0,0,0,CLT,away,5e99205e
W. Zaha,90,1,0.77,1,1,89.3,0,25,0,0,0,1,100,1,2,2,0,0,CLT,away,5e99205e
