general_possession_pct_home,general_possession_pct_away,general_shots_home,general_shots_away,general_shots_on_goal_home,general_shots_on_goal_away,general_blocked_shots_home,general_blocked_shots_away,general_total_passes_home,general_total_passes_away,general_passing_accuracy_pct_home,general_passing_accuracy_pct_away,general_corners_home,general_corners_away,general_total_crosses_home,general_total_crosses_away,general_offsides_home,general_offsides_away,general_aerial_duels_won_home,general_aerial_duels_won_away,general_expected_goals_home,general_expected_goals_away,general_goalkeeper_saves_home,general_goalkeeper_saves_away,general_clearances_home,general_clearances_away,general_fouls_home,general_fouls_away,general_yellow_cards_home,general_yellow_cards_away,general_red_cards_home,general_red_cards_away,general_overall_pct_home,general_overall_pct_away,general_open_play_pass_pct_home,general_open_play_pass_pct_away,general_set_piece_cross_pct_home,general_set_piece_cross_pct_away,general_open_play_cross_pct_home,general_open_play_cross_pct_away,general_goals_conceded_home,general_goals_conceded_away,general_shots_against_home,general_shots_against_away,general_clean_sheets_home,general_clean_sheets_away,general_xg_conceded_home,general_xg_conceded_away,general_interceptions_home,general_interceptions_away,shooting_goals_home,shooting_goals_away,shooting_on_target_home,shooting_on_target_away,shooting_off_target_home,shooting_off_target_away,shooting_blocked_home,shooting_blocked_away,passing_overall_pct_home,passing_overall_pct_away,passing_open_play_pass_pct_home,passing_open_play_pass_pct_away,passing_set_piece_cross_pct_home,passing_set_piece_cross_pct_away,passing_open_play_cross_pct_home,passing_open_play_cross_pct_away,possession_0_5_home,possession_0_5_away,possession_6_10_home,possession_6_10_away,possession_11_15_home,possession_11_15_away,possession_16_20_home,possession_16_20_away,possession_21_25_home,possession_21_25_away,possession_26_30_home,possession_26_30_away,possession_31_35_home,possession_31_35_away,possession_36_40_home,possession_36_40_away,possession_41_45_home,possession_41_45_away,possession_46_50_home,possession_46_50_away,possession_51_55_home,possession_51_55_away,possession_56_60_home,possession_56_60_away,possession_61_65_home,possession_61_65_away,possession_66_70_home,possession_66_70_away,possession_71_75_home,possession_71_75_away,possession_76_80_home,possession_76_80_away,possession_81_85_home,possession_81_85_away,possession_86_90_home,possession_86_90_away,xg_total_team_xg_home,xg_total_team_xg_away,xg_shots_home,xg_shots_away,xg_shots_on_target_home,xg_shots_on_target_away,match_id
58.1,41.9,15,8,4,3,0,1,557,402,90.3,86.3,6,3,18,4,1,1,9,10,1.2,0.9,2,4,6,6,14,10,2,1,0,0,90.3,86.3,90.0,87.4,25.0,0.0,27.8,25.0,1,0,15,8,0,0,0.9,1.2,1,0,0,1,4,3,9,3,0,1,90.3,86.3,90.0,87.4,25.0,0.0,27.8,25.0,52.23,47.77,70.68,29.32,49.99,50.01,70.38,29.62,55.25,44.75,47.5,52.5,49.22,50.78,66.17,33.83,53.83,46.17,58.2,41.8,72.89,27.11,38.67,61.33,28.92,71.08,47.97,52.03,55.01,44.99,68.31,31.69,72.2,27.8,60.73,39.27,1.2,0.9,15,8,4,3,e2c09716
54.1,45.9,18,7,7,4,3,2,537,405,83.8,79.8,6,6,10,3,1,3,21,13,1.3,1.1,2,5,9,5,13,13,3,2,0,0,83.8,79.8,83.4,80.9,100.0,33.3,20.0,0.0,2,2,18,7,0,0,1.1,1.3,1,1,2,2,7,4,7,0,3,2,83.8,79.8,83.4,80.9,100.0,33.3,20.0,0.0,18.49,81.51,52.9,47.1,52.52,47.48,59.54,40.46,43.37,56.63,47.48,52.52,55.07,44.93,54.94,45.06,47.49,52.51,50.83,49.17,69.82,30.18,64.49,35.51,45.56,54.44,48.71,51.29,56.97,43.03,69.8,30.2,67.5,32.5,60.39,39.61,1.3,1.1,18,7,7,4,0e84114f
52.0,48.0,21,18,4,5,6,2,438,407,89.0,87.2,5,4,8,6,1,3,5,5,2.8,2.3,4,2,6,7,10,18,1,2,0,0,89.0,87.2,89.2,86.8,75.0,33.3,62.5,66.7,1,2,21,18,0,0,2.3,2.8,1,1,2,1,4,5,7,10,6,2,89.0,87.2,89.2,86.8,75.0,33.3,62.5,66.7,38.35,61.65,36.29,63.71,79.31,20.69,38.05,61.95,29.67,70.33,50.1,49.9,50.93,49.07,38.02,61.98,40.65,59.35,68.2,31.8,58.58,41.42,56.14,43.86,73.32,26.68,25.84,74.16,40.37,59.63,88.54,11.46,61.68,38.32,65.62,34.38,2.8,2.3,21,18,4,5,895956c7
45.9,54.1,14,14,6,7,6,2,440,561,84.8,86.3,7,3,15,5,3,3,9,6,0.9,1.1,5,5,13,12,14,13,2,1,0,0,84.8,86.3,84.5,86.0,16.7,50.0,20.0,40.0,2,1,14,14,0,0,1.1,0.9,0,1,1,2,6,7,2,4,6,2,84.8,86.3,84.5,86.0,16.7,50.0,20.0,40.0,49.2,50.8,43.93,56.07,47.43,52.57,22.9,77.1,62.86,37.14,38.62,61.38,60.76,39.24,43.33,56.67,43.68,56.32,46.25,53.75,37.29,62.71,37.15,62.85,49.68,50.32,14.8,85.2,66.87,33.13,33.08,66.92,52.93,47.07,72.34,27.66,0.9,1.1,14,14,6,7,b36d6527
57.9,42.1,17,7,7,1,8,2,611,433,87.4,83.6,7,4,21,5,2,0,6,6,1.7,0.9,0,5,6,13,12,13,1,1,0,0,87.4,83.6,87.4,83.4,50.0,25.0,33.3,20.0,2,2,17,7,0,0,0.9,1.7,1,2,2,1,7,1,1,4,8,2,87.4,83.6,87.4,83.4,50.0,25.0,33.3,20.0,48.97,51.03,59.28,40.72,61.08,38.92,55.91,44.09,87.82,12.18,31.77,68.23,44.76,55.24,78.38,21.62,56.55,43.45,39.9,60.1,74.53,25.47,66.34,33.66,48.6,51.4,63.89,36.11,52.95,47.05,71.2,28.8,64.91,35.09,52.55,47.45,1.7,0.9,17,7,7,1,55850363
53.0,47.0,10,12,3,6,2,5,477,490,86.8,88.8,1,6,3,3,0,0,5,5,1.1,2.0,4,1,4,1,7,10,4,2,0,0,86.8,88.8,87.3,89.0,50.0,33.3,0.0,0.0,2,2,10,12,0,0,2.0,1.1,1,1,2,2,3,6,4,1,2,5,86.8,88.8,87.3,89.0,50.0,33.3,0.0,0.0,26.74,73.26,38.67,61.33,60.48,39.52,35.02,64.98,41.1,58.9,81.97,18.03,52.22,47.78,62.47,37.53,45.0,55.0,61.59,38.41,63.67,36.33,42.82,57.18,60.62,39.38,64.33,35.67,58.1,41.9,62.04,37.96,56.41,43.59,56.01,43.99,1.1,2.0,10,12,3,6,a3ae35b8
39.7,60.3,11,20,2,6,3,9,317,616,78.5,87.7,1,11,3,11,2,3,12,15,1.3,2.4,4,1,5,0,9,17,2,4,0,0,78.5,87.7,81.0,87.8,50.0,50.0,33.3,18.2,1,1,11,20,0,0,2.4,1.3,3,0,1,1,2,6,4,4,3,9,78.5,87.7,81.0,87.8,50.0,50.0,33.3,18.2,35.74,64.26,37.5,62.5,49.65,50.35,52.45,47.55,45.04,54.96,31.41,68.59,28.88,71.12,44.71,55.29,42.26,57.74,27.3,72.7,48.77,51.23,55.25,44.75,25.29,74.71,52.27,47.73,30.06,69.94,15.4,84.6,15.56,84.44,40.59,59.41,1.3,2.4,11,20,2,6,9b00fe16
59.4,40.6,21,10,11,4,5,2,552,354,90.2,83.6,4,2,6,4,1,1,9,13,3.8,1.4,3,5,2,7,16,11,2,3,0,0,90.2,83.6,90.2,83.2,33.3,0.0,16.7,25.0,1,5,21,10,0,0,1.4,3.8,0,0,5,1,11,4,6,3,5,2,90.2,83.6,90.2,83.2,33.3,0.0,16.7,25.0,66.59,33.41,72.64,27.36,54.5,45.5,44.63,55.37,69.93,30.07,47.1,52.9,65.38,34.62,69.55,30.45,67.6,32.4,64.42,35.58,57.82,42.18,48.93,51.07,56.64,43.36,,,73.07,26.93,48.19,51.81,46.68,53.32,57.9,42.1,3.8,1.4,21,10,11,4,df5d2e93
38.5,61.5,10,16,0,6,5,3,321,589,78.2,89.6,3,8,9,15,1,2,15,21,1.2,1.7,6,0,15,10,9,6,1,3,0,0,78.2,89.6,79.9,89.4,0.0,14.3,22.2,20.0,0,0,10,16,0,0,1.7,1.2,0,1,0,0,0,6,4,6,5,3,78.2,89.6,79.9,89.4,0.0,14.3,22.2,20.0,35.87,64.13,41.68,58.32,48.78,51.22,48.24,51.76,42.34,57.66,51.08,48.92,34.9,65.1,35.74,64.26,27.82,72.18,28.67,71.33,43.56,56.44,45.46,54.54,41.03,58.97,36.69,63.31,47.21,52.79,25.67,74.33,36.28,63.72,14.9,85.1,1.2,1.7,10,16,0,6,8b2771ab
63.2,36.8,19,10,7,5,6,1,631,377,88.6,78.5,6,4,10,5,1,0,12,15,2.8,1.6,2,4,5,7,8,15,3,3,0,0,88.6,78.5,88.5,77.8,20.0,0.0,20.0,20.0,3,3,19,10,0,0,1.6,2.8,0,2,3,3,7,5,5,3,6,1,88.6,78.5,88.5,77.8,20.0,0.0,20.0,20.0,64.64,35.36,59.28,40.72,51.94,48.06,82.38,17.62,63.16,36.84,82.59,17.41,31.51,68.49,54.42,45.58,62.47,37.53,54.65,45.35,58.97,41.03,73.34,26.66,79.47,20.53,65.51,34.49,55.27,44.73,64.87,35.13,68.33,31.67,56.45,43.55,2.8,1.6,19,10,7,5,4ab4b10e
