stat_name,home_value,away_value,category,tip_id,home_possession,home_advantage,away_possession,away_advantage,match_id,date,home_team,away_team
Possession %,40.6,59.4,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Shots,10,10,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Shots on Target,3,6,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Blocked Shots,4,1,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Total Passes,388,633,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Passing Accuracy %,81.4,87.8,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Corners,5,1,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Total Crosses,6,4,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Offsides,1,1,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Aerial Duels Won,7,11,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Expected Goals,1.1,1.5,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Goalkeeper Saves,3,1,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Clearances,5,10,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Fouls,14,9,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Yellow Cards,3,2,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Red Cards,0,0,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Overall %,81.4,87.8,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Open Play Pass %,81.2,88,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Set Piece Cross %,0,0,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Open Play Cross %,16.7,25,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Goals,2,3,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
On Target,3,6,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Off Target,8,7,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Blocked,4,1,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Goals Conceded,3,2,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Shots Against,10,10,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Clean Sheets,0,0,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
XG Conceded,1.5,1.1,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Interceptions,0,1,general,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Goals,2,3,shooting,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
On Target,3,6,shooting,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Off Target,3,2,shooting,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Blocked,4,1,shooting,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Overall %,81.4,87.8,passing,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Open Play Pass %,81.2,88,passing,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Set Piece Cross %,0,0,passing,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Open Play Cross %,16.7,25,passing,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
,,,possession,bar_0,Home Possession: 71.43%,Home Advantage: 42.86%,Away Possession: 28.57%,Away Advantage: N/A,bac85cf2,2024-04-13,Kansas City,Miami
,,,possession,bar_1,Home Possession: 34.68%,Home Advantage: N/A,Away Possession: 65.32%,Away Advantage: 30.64%,bac85cf2,2024-04-13,Kansas City,Miami
,,,possession,bar_2,Home Possession: 40.75%,Home Advantage: N/A,Away Possession: 59.25%,Away Advantage: 18.5%,bac85cf2,2024-04-13,Kansas City,Miami
,,,possession,bar_3,Home Possession: 48.58%,Home Advantage: N/A,Away Possession: 51.42%,Away Advantage: 2.84%,bac85cf2,2024-04-13,Kansas City,Miami
,,,possession,bar_4,Home Possession: 49.39%,Home Advantage: N/A,Away Possession: 50.61%,Away Advantage: 1.22%,bac85cf2,2024-04-13,Kansas City,Miami
,,,possession,bar_5,Home Possession: 42.57%,Home Advantage: N/A,Away Possession: 57.43%,Away Advantage: 14.86%,bac85cf2,2024-04-13,Kansas City,Miami
,,,possession,bar_6,Home Possession: 38.55%,Home Advantage: N/A,Away Possession: 61.45%,Away Advantage: 22.9%,bac85cf2,2024-04-13,Kansas City,Miami
,,,possession,bar_7,Home Possession: 31.76%,Home Advantage: N/A,Away Possession: 68.24%,Away Advantage: 36.48%,bac85cf2,2024-04-13,Kansas City,Miami
,,,possession,bar_8,Home Possession: 39.76%,Home Advantage: N/A,Away Possession: 60.24%,Away Advantage: 20.48%,bac85cf2,2024-04-13,Kansas City,Miami
,,,possession,bar_2_0,Home Possession: 30.44%,Home Advantage: N/A,Away Possession: 69.56%,Away Advantage: 39.12%,bac85cf2,2024-04-13,Kansas City,Miami
,,,possession,bar_2_1,Home Possession: 34.53%,Home Advantage: N/A,Away Possession: 65.47%,Away Advantage: 30.94%,bac85cf2,2024-04-13,Kansas City,Miami
,,,possession,bar_2_2,Home Possession: 62.1%,Home Advantage: 24.2%,Away Possession: 37.9%,Away Advantage: N/A,bac85cf2,2024-04-13,Kansas City,Miami
,,,possession,bar_2_3,Home Possession: 44.13%,Home Advantage: N/A,Away Possession: 55.87%,Away Advantage: 11.74%,bac85cf2,2024-04-13,Kansas City,Miami
,,,possession,bar_2_4,Home Possession: 18.91%,Home Advantage: N/A,Away Possession: 81.09%,Away Advantage: 62.18%,bac85cf2,2024-04-13,Kansas City,Miami
,,,possession,bar_2_5,Home Possession: 37.79%,Home Advantage: N/A,Away Possession: 62.21%,Away Advantage: 24.42%,bac85cf2,2024-04-13,Kansas City,Miami
,,,possession,bar_2_6,Home Possession: 36.95%,Home Advantage: N/A,Away Possession: 63.05%,Away Advantage: 26.1%,bac85cf2,2024-04-13,Kansas City,Miami
,,,possession,bar_2_7,Home Possession: 18.58%,Home Advantage: N/A,Away Possession: 81.42%,Away Advantage: 62.84%,bac85cf2,2024-04-13,Kansas City,Miami
,,,possession,bar_2_8,Home Possession: 42.91%,Home Advantage: N/A,Away Possession: 57.09%,Away Advantage: 14.18%,bac85cf2,2024-04-13,Kansas City,Miami
Total Team XG,1.1,1.5,xg,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Shots,10,10,xg,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Shots On Target,3,6,xg,,,,,,bac85cf2,2024-04-13,Kansas City,Miami
Possession %,56.3,43.7,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Shots,15,11,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Shots on Target,7,4,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Blocked Shots,3,3,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Total Passes,563,463,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Passing Accuracy %,89.9,86.6,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Corners,9,8,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Total Crosses,7,8,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Offsides,1,0,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Aerial Duels Won,4,4,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Expected Goals,1.2,0.9,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Goalkeeper Saves,4,5,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Clearances,15,16,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Fouls,5,7,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Yellow Cards,1,2,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Red Cards,0,0,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Overall %,89.9,86.6,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Open Play Pass %,89.9,86.5,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Set Piece Cross %,33.3,42.9,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Open Play Cross %,28.6,12.5,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Goals,2,0,general,,,,,,d19065bb,2024-07-06,Seattle,New England
On Target,7,4,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Off Target,13,11,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Blocked,3,3,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Goals Conceded,0,2,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Shots Against,15,11,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Clean Sheets,0,0,general,,,,,,d19065bb,2024-07-06,Seattle,New England
XG Conceded,0.9,1.2,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Interceptions,1,1,general,,,,,,d19065bb,2024-07-06,Seattle,New England
Goals,2,0,shooting,,,,,,d19065bb,2024-07-06,Seattle,New England
On Target,7,4,shooting,,,,,,d19065bb,2024-07-06,Seattle,New England
Off Target,5,4,shooting,,,,,,d19065bb,2024-07-06,Seattle,New England
Blocked,3,3,shooting,,,,,,d19065bb,2024-07-06,Seattle,New England
Overall %,89.9,86.6,passing,,,,,,d19065bb,2024-07-06,Seattle,New England
Open Play Pass %,89.9,86.5,passing,,,,,,d19065bb,2024-07-06,Seattle,New England
Set Piece Cross %,33.3,42.9,passing,,,,,,d19065bb,2024-07-06,Seattle,New England
Open Play Cross %,28.6,12.5,passing,,,,,,d19065bb,2024-07-06,Seattle,New England
,,,possession,bar_0,Home Possession: 57.65%,Home Advantage: 15.3%,Away Possession: 42.35%,Away Advantage: N/A,d19065bb,2024-07-06,Seattle,New England
,,,possession,bar_1,Home Possession: 75.39%,Home Advantage: 50.78%,Away Possession: 24.61%,Away Advantage: N/A,d19065bb,2024-07-06,Seattle,New England
,,,possession,bar_2,Home Possession: 33.74%,Home Advantage: N/A,Away Possession: 66.26%,Away Advantage: 32.52%,d19065bb,2024-07-06,Seattle,New England
,,,possession,bar_3,Home Possession: 53.47%,Home Advantage: 6.94%,Away Possession: 46.53%,Away Advantage: N/A,d19065bb,2024-07-06,Seattle,New England
,,,possession,bar_4,Home Possession: 50.94%,Home Advantage: 1.88%,Away Possession: 49.06%,Away Advantage: N/A,d19065bb,2024-07-06,Seattle,New England
,,,possession,bar_5,Home Possession: 67.73%,Home Advantage: 35.46%,Away Possession: 32.27%,Away Advantage: N/A,d19065bb,2024-07-06,Seattle,New England
,,,possession,bar_6,Home Possession: 54.43%,Home Advantage: 8.86%,Away Possession: 45.57%,Away Advantage: N/A,d19065bb,2024-07-06,Seattle,New England
,,,possession,bar_7,Home Possession: 75.22%,Home Advantage: 50.44%,Away Possession: 24.78%,Away Advantage: N/A,d19065bb,2024-07-06,Seattle,New England
,,,possession,bar_8,Home Possession: 69.57%,Home Advantage: 39.14%,Away Possession: 30.43%,Away Advantage: N/A,d19065bb,2024-07-06,Seattle,New England
,,,possession,bar_2_0,Home Possession: 44.42%,Home Advantage: N/A,Away Possession: 55.58%,Away Advantage: 11.16%,d19065bb,2024-07-06,Seattle,New England
,,,possession,bar_2_1,Home Possession: 51.18%,Home Advantage: 2.36%,Away Possession: 48.82%,Away Advantage: N/A,d19065bb,2024-07-06,Seattle,New England
,,,possession,bar_2_2,Home Possession: 67.46%,Home Advantage: 34.92%,Away Possession: 32.54%,Away Advantage: N/A,d19065bb,2024-07-06,Seattle,New England
,,,possession,bar_2_3,Home Possession: 55.01%,Home Advantage: 10.02%,Away Possession: 44.99%,Away Advantage: N/A,d19065bb,2024-07-06,Seattle,New England
,,,possession,bar_2_4,Home Possession: 30.25%,Home Advantage: N/A,Away Possession: 69.75%,Away Advantage: 39.5%,d19065bb,2024-07-06,Seattle,New England
,,,possession,bar_2_5,Home Possession: 37.92%,Home Advantage: N/A,Away Possession: 62.08%,Away Advantage: 24.16%,d19065bb,2024-07-06,Seattle,New England
,,,possession,bar_2_6,Home Possession: 53.67%,Home Advantage: 7.34%,Away Possession: 46.33%,Away Advantage: N/A,d19065bb,2024-07-06,Seattle,New England
,,,possession,bar_2_7,Home Possession: 79.67%,Home Advantage: 59.34%,Away Possession: 20.33%,Away Advantage: N/A,d19065bb,2024-07-06,Seattle,New England
,,,possession,bar_2_8,Home Possession: 55.35%,Home Advantage: 10.7%,Away Possession: 44.65%,Away Advantage: N/A,d19065bb,2024-07-06,Seattle,New England
Total Team XG,1.2,0.9,xg,,,,,,d19065bb,2024-07-06,Seattle,New England
Shots,15,11,xg,,,,,,d19065bb,2024-07-06,Seattle,New England
