stat_name,home_value,away_value,category,tip_id,home_possession,home_advantage,away_possession,away_advantage,match_id,date,home_team,away_team
Shots On Target,7,4,xg,,,,,,d19065bb,2024-07-06,Seattle,New England
Possession %,48,52,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Shots,25,11,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Shots on Target,7,4,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Blocked Shots,9,3,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Total Passes,432,478,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Passing Accuracy %,83.8,85.4,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Corners,9,4,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Total Crosses,5,1,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Offsides,3,1,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Aerial Duels Won,13,10,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Expected Goals,2.3,1.6,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Goalkeeper Saves,3,6,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Clearances,7,7,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Fouls,11,10,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Yellow Cards,1,2,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Red Cards,0,0,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Overall %,83.8,85.4,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Open Play Pass %,84,85,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Set Piece Cross %,75,50,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Open Play Cross %,20,100,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Goals,1,1,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
On Target,7,4,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Off Target,24,10,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Blocked,9,3,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Goals Conceded,2,1,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Shots Against,25,11,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Clean Sheets,0,0,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
XG Conceded,1.6,2.3,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Interceptions,0,0,general,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Goals,1,1,shooting,,,,,,2fece7e3,2025-07-16,Orlando,New York City
On Target,7,4,shooting,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Off Target,9,3,shooting,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Blocked,9,3,shooting,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Overall %,83.8,85.4,passing,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Open Play Pass %,84,85,passing,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Set Piece Cross %,75,50,passing,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Open Play Cross %,20,100,passing,,,,,,2fece7e3,2025-07-16,Orlando,New York City
,,,possession,bar_0,Home Possession: 41.16%,Home Advantage: N/A,Away Possession: 58.84%,Away Advantage: 17.68%,2fece7e3,2025-07-16,Orlando,New York City
,,,possession,bar_1,Home Possession: 46.17%,Home Advantage: N/A,Away Possession: 53.83%,Away Advantage: 7.66%,2fece7e3,2025-07-16,Orlando,New York City
,,,possession,bar_2,Home Possession: 48.16%,Home Advantage: N/A,Away Possession: 51.84%,Away Advantage: 3.68%,2fece7e3,2025-07-16,Orlando,New York City
,,,possession,bar_3,Home Possession: 62.56%,Home Advantage: 25.12%,Away Possession: 37.44%,Away Advantage: N/A,2fece7e3,2025-07-16,Orlando,New York City
,,,possession,bar_4,Home Possession: 62.54%,Home Advantage: 25.08%,Away Possession: 37.46%,Away Advantage: N/A,2fece7e3,2025-07-16,Orlando,New York City
,,,possession,bar_5,Home Possession: 41.87%,Home Advantage: N/A,Away Possession: 58.13%,Away Advantage: 16.26%,2fece7e3,2025-07-16,Orlando,New York City
,,,possession,bar_6,Home Possession: 35.68%,Home Advantage: N/A,Away Possession: 64.32%,Away Advantage: 28.64%,2fece7e3,2025-07-16,Orlando,New York City
,,,possession,bar_7,Home Possession: 44.64%,Home Advantage: N/A,Away Possession: 55.36%,Away Advantage: 10.72%,2fece7e3,2025-07-16,Orlando,New York City
,,,possession,bar_8,Home Possession: 43%,Home Advantage: N/A,Away Possession: 57%,Away Advantage: 14%,2fece7e3,2025-07-16,Orlando,New York City
,,,possession,bar_2_0,Home Possession: 30.27%,Home Advantage: N/A,Away Possession: 69.73%,Away Advantage: 39.46%,2fece7e3,2025-07-16,Orlando,New York City
,,,possession,bar_2_1,Home Possession: 39.33%,Home Advantage: N/A,Away Possession: 60.67%,Away Advantage: 21.34%,2fece7e3,2025-07-16,Orlando,New York City
,,,possession,bar_2_2,Home Possession: 30.73%,Home Advantage: N/A,Away Possession: 69.27%,Away Advantage: 38.54%,2fece7e3,2025-07-16,Orlando,New York City
,,,possession,bar_2_3,Home Possession: 44.48%,Home Advantage: N/A,Away Possession: 55.52%,Away Advantage: 11.04%,2fece7e3,2025-07-16,Orlando,New York City
,,,possession,bar_2_4,Home Possession: 40.47%,Home Advantage: N/A,Away Possession: 59.53%,Away Advantage: 19.06%,2fece7e3,2025-07-16,Orlando,New York City
,,,possession,bar_2_5,Home Possession: 59.84%,Home Advantage: 19.68%,Away Possession: 40.16%,Away Advantage: N/A,2fece7e3,2025-07-16,Orlando,New York City
,,,possession,bar_2_6,Home Possession: 58.86%,Home Advantage: 17.72%,Away Possession: 41.14%,Away Advantage: N/A,2fece7e3,2025-07-16,Orlando,New York City
,,,possession,bar_2_7,Home Possession: 42.21%,Home Advantage: N/A,Away Possession: 57.79%,Away Advantage: 15.58%,2fece7e3,2025-07-16,Orlando,New York City
,,,possession,bar_2_8,Home Possession: 72.25%,Home Advantage: 44.5%,Away Possession: 27.75%,Away Advantage: N/A,2fece7e3,2025-07-16,Orlando,New York City
Total Team XG,2.3,1.6,xg,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Shots,25,11,xg,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Shots On Target,7,4,xg,,,,,,2fece7e3,2025-07-16,Orlando,New York City
Possession %,43.9,56.1,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Shots,16,12,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Shots on Target,7,2,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Blocked Shots,4,4,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Total Passes,326,476,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Passing Accuracy %,83.7,87.4,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Corners,7,10,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Total Crosses,7,15,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Offsides,3,1,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Aerial Duels Won,7,10,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Expected Goals,3,1,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Goalkeeper Saves,2,3,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Clearances,12,4,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Fouls,8,16,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Yellow Cards,2,1,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Red Cards,0,0,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Overall %,83.7,87.4,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Open Play Pass %,84.8,87.4,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Set Piece Cross %,40,22.2,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Open Play Cross %,14.3,40,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Goals,3,0,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
On Target,7,2,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Off Target,13,12,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Blocked,4,4,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Goals Conceded,0,3,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Shots Against,16,12,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Clean Sheets,0,0,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
XG Conceded,1,3,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Interceptions,3,2,general,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Goals,3,0,shooting,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
On Target,7,2,shooting,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Off Target,4,5,shooting,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Blocked,4,4,shooting,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Overall %,83.7,87.4,passing,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Open Play Pass %,84.8,87.4,passing,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Set Piece Cross %,40,22.2,passing,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Open Play Cross %,14.3,40,passing,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
,,,possession,bar_0,Home Possession: 55.96%,Home Advantage: 11.92%,Away Possession: 44.04%,Away Advantage: N/A,c8fa0997,2025-07-12,Colorado,Vancouver
,,,possession,bar_1,Home Possession: 52.13%,Home Advantage: 4.26%,Away Possession: 47.87%,Away Advantage: N/A,c8fa0997,2025-07-12,Colorado,Vancouver
,,,possession,bar_2,Home Possession: 54.91%,Home Advantage: 9.82%,Away Possession: 45.09%,Away Advantage: N/A,c8fa0997,2025-07-12,Colorado,Vancouver
,,,possession,bar_3,Home Possession: 35.79%,Home Advantage: N/A,Away Possession: 64.21%,Away Advantage: 28.42%,c8fa0997,2025-07-12,Colorado,Vancouver
,,,possession,bar_4,Home Possession: 64.78%,Home Advantage: 29.56%,Away Possession: 35.22%,Away Advantage: N/A,c8fa0997,2025-07-12,Colorado,Vancouver
,,,possession,bar_5,Home Possession: 49.98%,Home Advantage: N/A,Away Possession: 50.02%,Away Advantage: 0.04%,c8fa0997,2025-07-12,Colorado,Vancouver
,,,possession,bar_6,Home Possession: 18.16%,Home Advantage: N/A,Away Possession: 81.84%,Away Advantage: 63.68%,c8fa0997,2025-07-12,Colorado,Vancouver
,,,possession,bar_7,Home Possession: 60.19%,Home Advantage: 20.38%,Away Possession: 39.81%,Away Advantage: N/A,c8fa0997,2025-07-12,Colorado,Vancouver
,,,possession,bar_8,Home Possession: 39.04%,Home Advantage: N/A,Away Possession: 60.96%,Away Advantage: 21.92%,c8fa0997,2025-07-12,Colorado,Vancouver
,,,possession,bar_2_0,Home Possession: 46.74%,Home Advantage: N/A,Away Possession: 53.26%,Away Advantage: 6.52%,c8fa0997,2025-07-12,Colorado,Vancouver
,,,possession,bar_2_1,Home Possession: 25.07%,Home Advantage: N/A,Away Possession: 74.93%,Away Advantage: 49.86%,c8fa0997,2025-07-12,Colorado,Vancouver
,,,possession,bar_2_2,Home Possession: 53.89%,Home Advantage: 7.78%,Away Possession: 46.11%,Away Advantage: N/A,c8fa0997,2025-07-12,Colorado,Vancouver
,,,possession,bar_2_3,Home Possession: 57.71%,Home Advantage: 15.42%,Away Possession: 42.29%,Away Advantage: N/A,c8fa0997,2025-07-12,Colorado,Vancouver
,,,possession,bar_2_4,Home Possession: 62.87%,Home Advantage: 25.74%,Away Possession: 37.13%,Away Advantage: N/A,c8fa0997,2025-07-12,Colorado,Vancouver
,,,possession,bar_2_5,Home Possession: 37.6%,Home Advantage: N/A,Away Possession: 62.4%,Away Advantage: 24.8%,c8fa0997,2025-07-12,Colorado,Vancouver
,,,possession,bar_2_6,Home Possession: 16.18%,Home Advantage: N/A,Away Possession: 83.82%,Away Advantage: 67.64%,c8fa0997,2025-07-12,Colorado,Vancouver
,,,possession,bar_2_7,Home Possession: 19.68%,Home Advantage: N/A,Away Possession: 80.32%,Away Advantage: 60.64%,c8fa0997,2025-07-12,Colorado,Vancouver
,,,possession,bar_2_8,Home Possession: 18.27%,Home Advantage: N/A,Away Possession: 81.73%,Away Advantage: 63.46%,c8fa0997,2025-07-12,Colorado,Vancouver
Total Team XG,3,1,xg,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Shots,16,12,xg,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Shots On Target,7,2,xg,,,,,,c8fa0997,2025-07-12,Colorado,Vancouver
Possession %,47.8,52.2,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
Shots,6,13,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
Shots on Target,2,3,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
Blocked Shots,2,2,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
Total Passes,427,555,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
Passing Accuracy %,86.4,91.9,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
Corners,5,7,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
Total Crosses,2,7,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
Offsides,0,3,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
Aerial Duels Won,5,9,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
Expected Goals,0.4,2,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
Goalkeeper Saves,2,1,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
Clearances,10,9,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
Fouls,9,21,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
Yellow Cards,2,2,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
Red Cards,1,0,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
Overall %,86.4,91.9,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
Open Play Pass %,86.8,92,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
Set Piece Cross %,0,16.7,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
Open Play Cross %,0,28.6,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
Goals,1,1,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
On Target,2,3,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
Off Target,5,12,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
Blocked,2,2,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
Goals Conceded,1,1,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
Shots Against,6,13,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
Clean Sheets,0,0,general,,,,,,673356d5,2025-04-12,LA Galaxy,Houston
